source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.0.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank1.pdb,1,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank2.pdb,2,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank3.pdb,3,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank4.pdb,4,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank5.pdb,5,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank6.pdb,6,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank7.pdb,7,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank8.pdb,8,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank9.pdb,9,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank10.pdb,10,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank11.pdb,11,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.11.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank12.pdb,12,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank13.pdb,13,,0,A,0,0,,1578
/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2/2PBR.13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/AqTMK/01_af2_new/AqTMK.AF2rank14.pdb,14,,0,A,0,0,,1578
