source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.0.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank1.pdb,1,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank2.pdb,2,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank3.pdb,3,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank4.pdb,4,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank5.pdb,5,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank6.pdb,6,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank7.pdb,7,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank8.pdb,8,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank9.pdb,9,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank10.pdb,10,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank11.pdb,11,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.11.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,12,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,13,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,14,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,15,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,16,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,17,,0,A,0,0,,2315
/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,18,,0,A,0,0,,2315
