source,output,assigned_rank,source_rank_token,removed_ranges,chains,removed_atom_records,removed_residue_count,removed_residues,retained_coordinate_records
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.0.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank1.pdb,1,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank2.pdb,2,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank3.pdb,3,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank4.pdb,4,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank5.pdb,5,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank6.pdb,6,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank7.pdb,7,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank8.pdb,8,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank9.pdb,9,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank10.pdb,10,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank11.pdb,11,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.11.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank12.pdb,12,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank13.pdb,13,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank14.pdb,14,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank15.pdb,15,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank16.pdb,16,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank17.pdb,17,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank18.pdb,18,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.18.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank19.pdb,19,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.19.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank20.pdb,20,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.20.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank21.pdb,21,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank22.pdb,22,,0,A,0,0,,2442
/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2/6B90.22.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/PTP1B/01_af2_new/PTP1B.AF2rank23.pdb,23,,0,A,0,0,,2442
