standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
AqTMK_1,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_1_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_1_final.txt,21,21,11,32,21,18,38,success,
AqTMK_2,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_2_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_2,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_2/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_2_final.txt,21,21,11,32,19,18,36,success,
AqTMK_5,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_5_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_5,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_5/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_5_final.txt,21,21,11,32,18,18,35,success,
AqTMK_6,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_6_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_6,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_6/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_6_final.txt,21,21,11,32,19,18,36,success,
AqTMK_8,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_8_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_8,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_8/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_8_final.txt,21,21,11,32,20,18,37,success,
AqTMK_9,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_9_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_9,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_9/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_9_final.txt,21,21,10,31,19,18,36,success,
AqTMK_10,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_10_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_10_final.txt,21,21,11,32,20,18,37,success,
AqTMK_12,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_12_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_12,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_12/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_12_final.txt,21,21,11,32,21,18,38,success,
AqTMK_13,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_13_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_13,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_13/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_13_final.txt,21,21,11,32,19,18,36,success,
AqTMK_14,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_14_complex.pdb,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_14,results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_14/report.xml,results/AqTMK/05_plip_interaction_graphs/ged_input_files/AqTMK_14_final.txt,21,21,11,32,18,18,35,success,
