reference_class,structure_id,reference_representative_structure_id,class_size
class_1,AqTMK_1,AqTMK_1,2
class_1,AqTMK_12,AqTMK_1,2
class_2,AqTMK_30,AqTMK_30,1
class_3,AqTMK_35,AqTMK_35,1
class_4,AqTMK_65,AqTMK_65,1
class_5,AqTMK_8,AqTMK_8,2
class_5,AqTMK_21,AqTMK_8,2
class_6,AqTMK_10,AqTMK_10,1
class_7,AqTMK_16,AqTMK_16,1
class_8,AqTMK_26,AqTMK_26,1
class_9,AqTMK_39,AqTMK_39,1
class_10,AqTMK_41,AqTMK_41,1
class_11,AqTMK_44,AqTMK_44,1
class_12,AqTMK_46,AqTMK_46,2
class_12,AqTMK_97,AqTMK_46,2
class_13,AqTMK_58,AqTMK_58,2
class_13,AqTMK_60,AqTMK_58,2
class_14,AqTMK_88,AqTMK_88,1
class_15,AqTMK_134,AqTMK_134,1
class_16,AqTMK_140,AqTMK_140,1
class_17,AqTMK_228,AqTMK_228,1
class_18,AqTMK_2,AqTMK_2,4
class_18,AqTMK_6,AqTMK_2,4
class_18,AqTMK_13,AqTMK_2,4
class_18,AqTMK_22,AqTMK_2,4
class_19,AqTMK_9,AqTMK_9,1
class_20,AqTMK_15,AqTMK_15,1
class_21,AqTMK_17,AqTMK_17,1
class_22,AqTMK_28,AqTMK_28,1
class_23,AqTMK_37,AqTMK_37,1
class_24,AqTMK_38,AqTMK_38,1
class_25,AqTMK_77,AqTMK_77,1
class_26,AqTMK_5,AqTMK_5,1
class_27,AqTMK_14,AqTMK_14,1
class_28,AqTMK_23,AqTMK_23,1
class_29,AqTMK_214,AqTMK_214,1
class_30,AqTMK_128,AqTMK_128,2
class_30,AqTMK_175,AqTMK_128,2
class_31,AqTMK_185,AqTMK_185,2
class_31,AqTMK_220,AqTMK_185,2
class_32,AqTMK_196,AqTMK_196,1
class_33,AqTMK_207,AqTMK_207,1
class_34,AqTMK_217,AqTMK_217,1
class_35,AqTMK_244,AqTMK_244,1
class_36,AqTMK_246,AqTMK_246,1
class_37,AqTMK_261,AqTMK_261,1
class_38,AqTMK_281,AqTMK_281,1
class_39,AqTMK_69,AqTMK_69,2
class_39,AqTMK_287,AqTMK_69,2
class_40,AqTMK_87,AqTMK_87,1
class_41,AqTMK_95,AqTMK_95,2
class_41,AqTMK_120,AqTMK_95,2
class_42,AqTMK_109,AqTMK_109,3
class_42,AqTMK_171,AqTMK_109,3
class_42,AqTMK_186,AqTMK_109,3
class_43,AqTMK_111,AqTMK_111,1
class_44,AqTMK_116,AqTMK_116,2
class_44,AqTMK_163,AqTMK_116,2
class_45,AqTMK_139,AqTMK_139,1
class_46,AqTMK_156,AqTMK_156,1
class_47,AqTMK_197,AqTMK_197,2
class_47,AqTMK_257,AqTMK_197,2
class_48,AqTMK_200,AqTMK_200,1
class_49,AqTMK_208,AqTMK_208,1
class_50,AqTMK_223,AqTMK_223,1
class_51,AqTMK_229,AqTMK_229,1
class_52,AqTMK_230,AqTMK_230,1
class_53,AqTMK_231,AqTMK_231,1
class_54,AqTMK_233,AqTMK_233,1
class_55,AqTMK_259,AqTMK_259,1
class_56,AqTMK_262,AqTMK_262,1
class_57,AqTMK_270,AqTMK_270,2
class_57,AqTMK_285,AqTMK_270,2
class_58,AqTMK_273,AqTMK_273,1
class_59,AqTMK_284,AqTMK_284,1
class_60,AqTMK_295,AqTMK_295,1
class_61,AqTMK_311,AqTMK_311,1
class_62,AqTMK_54,AqTMK_54,26
class_62,AqTMK_56,AqTMK_54,26
class_62,AqTMK_59,AqTMK_54,26
class_62,AqTMK_62,AqTMK_54,26
class_62,AqTMK_63,AqTMK_54,26
class_62,AqTMK_68,AqTMK_54,26
class_62,AqTMK_70,AqTMK_54,26
class_62,AqTMK_79,AqTMK_54,26
class_62,AqTMK_81,AqTMK_54,26
class_62,AqTMK_84,AqTMK_54,26
class_62,AqTMK_82,AqTMK_54,26
class_62,AqTMK_89,AqTMK_54,26
class_62,AqTMK_91,AqTMK_54,26
class_62,AqTMK_93,AqTMK_54,26
class_62,AqTMK_99,AqTMK_54,26
class_62,AqTMK_101,AqTMK_54,26
class_62,AqTMK_103,AqTMK_54,26
class_62,AqTMK_104,AqTMK_54,26
class_62,AqTMK_106,AqTMK_54,26
class_62,AqTMK_114,AqTMK_54,26
class_62,AqTMK_117,AqTMK_54,26
class_62,AqTMK_131,AqTMK_54,26
class_62,AqTMK_165,AqTMK_54,26
class_62,AqTMK_218,AqTMK_54,26
class_62,AqTMK_236,AqTMK_54,26
class_62,AqTMK_263,AqTMK_54,26
class_63,AqTMK_85,AqTMK_85,4
class_63,AqTMK_118,AqTMK_85,4
class_63,AqTMK_188,AqTMK_85,4
class_63,AqTMK_274,AqTMK_85,4
class_64,AqTMK_98,AqTMK_98,1
class_65,AqTMK_149,AqTMK_149,4
class_65,AqTMK_181,AqTMK_149,4
class_65,AqTMK_198,AqTMK_149,4
class_65,AqTMK_224,AqTMK_149,4
class_66,AqTMK_155,AqTMK_155,1
class_67,AqTMK_159,AqTMK_159,2
class_67,AqTMK_292,AqTMK_159,2
class_68,AqTMK_173,AqTMK_173,1
class_69,AqTMK_179,AqTMK_179,4
class_69,AqTMK_187,AqTMK_179,4
class_69,AqTMK_249,AqTMK_179,4
class_69,AqTMK_267,AqTMK_179,4
class_70,AqTMK_191,AqTMK_191,1
class_71,AqTMK_219,AqTMK_219,1
class_72,AqTMK_234,AqTMK_234,3
class_72,AqTMK_272,AqTMK_234,3
class_72,AqTMK_245,AqTMK_234,3
class_73,AqTMK_240,AqTMK_240,1
class_74,AqTMK_242,AqTMK_242,1
class_75,AqTMK_275,AqTMK_275,1
class_76,AqTMK_279,AqTMK_279,1
class_77,AqTMK_286,AqTMK_286,1
class_78,AqTMK_290,AqTMK_290,1
class_79,AqTMK_299,AqTMK_299,1
class_80,AqTMK_309,AqTMK_309,1
class_81,AqTMK_45,AqTMK_45,1
class_82,AqTMK_47,AqTMK_47,9
class_82,AqTMK_48,AqTMK_47,9
class_82,AqTMK_72,AqTMK_47,9
class_82,AqTMK_108,AqTMK_47,9
class_82,AqTMK_119,AqTMK_47,9
class_82,AqTMK_112,AqTMK_47,9
class_82,AqTMK_133,AqTMK_47,9
class_82,AqTMK_253,AqTMK_47,9
class_82,AqTMK_288,AqTMK_47,9
class_83,AqTMK_53,AqTMK_53,3
class_83,AqTMK_92,AqTMK_53,3
class_83,AqTMK_172,AqTMK_53,3
class_84,AqTMK_57,AqTMK_57,5
class_84,AqTMK_94,AqTMK_57,5
class_84,AqTMK_122,AqTMK_57,5
class_84,AqTMK_132,AqTMK_57,5
class_84,AqTMK_201,AqTMK_57,5
class_85,AqTMK_73,AqTMK_73,2
class_85,AqTMK_76,AqTMK_73,2
class_86,AqTMK_110,AqTMK_110,1
class_87,AqTMK_123,AqTMK_123,1
class_88,AqTMK_167,AqTMK_167,2
class_88,AqTMK_237,AqTMK_167,2
class_89,AqTMK_178,AqTMK_178,1
class_90,AqTMK_184,AqTMK_184,1
class_91,AqTMK_195,AqTMK_195,1
class_92,AqTMK_211,AqTMK_211,1
class_93,AqTMK_238,AqTMK_238,1
class_94,AqTMK_276,AqTMK_276,1
class_95,AqTMK_277,AqTMK_277,2
class_95,AqTMK_300,AqTMK_277,2
class_96,AqTMK_33,AqTMK_33,2
class_96,AqTMK_102,AqTMK_33,2
class_97,AqTMK_43,AqTMK_43,1
class_98,AqTMK_49,AqTMK_49,4
class_98,AqTMK_50,AqTMK_49,4
class_98,AqTMK_66,AqTMK_49,4
class_98,AqTMK_124,AqTMK_49,4
class_99,AqTMK_153,AqTMK_153,2
class_99,AqTMK_264,AqTMK_153,2
class_100,AqTMK_193,AqTMK_193,1
class_101,AqTMK_121,AqTMK_121,1
