class,class_size,representative_graph,representative_structure_id,members,structure_ids
class_1,2,AqTMK_1_final.txt,AqTMK_1,AqTMK_1_final.txt;AqTMK_12_final.txt,AqTMK_1;AqTMK_12
class_2,1,AqTMK_30_final.txt,AqTMK_30,AqTMK_30_final.txt,AqTMK_30
class_3,1,AqTMK_35_final.txt,AqTMK_35,AqTMK_35_final.txt,AqTMK_35
class_4,1,AqTMK_65_final.txt,AqTMK_65,AqTMK_65_final.txt,AqTMK_65
class_5,2,AqTMK_8_final.txt,AqTMK_8,AqTMK_8_final.txt;AqTMK_21_final.txt,AqTMK_8;AqTMK_21
class_6,1,AqTMK_10_final.txt,AqTMK_10,AqTMK_10_final.txt,AqTMK_10
class_7,1,AqTMK_16_final.txt,AqTMK_16,AqTMK_16_final.txt,AqTMK_16
class_8,1,AqTMK_26_final.txt,AqTMK_26,AqTMK_26_final.txt,AqTMK_26
class_9,1,AqTMK_39_final.txt,AqTMK_39,AqTMK_39_final.txt,AqTMK_39
class_10,1,AqTMK_41_final.txt,AqTMK_41,AqTMK_41_final.txt,AqTMK_41
class_11,1,AqTMK_44_final.txt,AqTMK_44,AqTMK_44_final.txt,AqTMK_44
class_12,2,AqTMK_46_final.txt,AqTMK_46,AqTMK_46_final.txt;AqTMK_97_final.txt,AqTMK_46;AqTMK_97
class_13,2,AqTMK_58_final.txt,AqTMK_58,AqTMK_58_final.txt;AqTMK_60_final.txt,AqTMK_58;AqTMK_60
class_14,1,AqTMK_88_final.txt,AqTMK_88,AqTMK_88_final.txt,AqTMK_88
class_15,1,AqTMK_134_final.txt,AqTMK_134,AqTMK_134_final.txt,AqTMK_134
class_16,1,AqTMK_140_final.txt,AqTMK_140,AqTMK_140_final.txt,AqTMK_140
class_17,1,AqTMK_228_final.txt,AqTMK_228,AqTMK_228_final.txt,AqTMK_228
class_18,4,AqTMK_2_final.txt,AqTMK_2,AqTMK_2_final.txt;AqTMK_6_final.txt;AqTMK_13_final.txt;AqTMK_22_final.txt,AqTMK_2;AqTMK_6;AqTMK_13;AqTMK_22
class_19,1,AqTMK_9_final.txt,AqTMK_9,AqTMK_9_final.txt,AqTMK_9
class_20,1,AqTMK_15_final.txt,AqTMK_15,AqTMK_15_final.txt,AqTMK_15
class_21,1,AqTMK_17_final.txt,AqTMK_17,AqTMK_17_final.txt,AqTMK_17
class_22,1,AqTMK_28_final.txt,AqTMK_28,AqTMK_28_final.txt,AqTMK_28
class_23,1,AqTMK_37_final.txt,AqTMK_37,AqTMK_37_final.txt,AqTMK_37
class_24,1,AqTMK_38_final.txt,AqTMK_38,AqTMK_38_final.txt,AqTMK_38
class_25,1,AqTMK_77_final.txt,AqTMK_77,AqTMK_77_final.txt,AqTMK_77
class_26,1,AqTMK_5_final.txt,AqTMK_5,AqTMK_5_final.txt,AqTMK_5
class_27,1,AqTMK_14_final.txt,AqTMK_14,AqTMK_14_final.txt,AqTMK_14
class_28,1,AqTMK_23_final.txt,AqTMK_23,AqTMK_23_final.txt,AqTMK_23
class_29,1,AqTMK_214_final.txt,AqTMK_214,AqTMK_214_final.txt,AqTMK_214
class_30,2,AqTMK_128_final.txt,AqTMK_128,AqTMK_128_final.txt;AqTMK_175_final.txt,AqTMK_128;AqTMK_175
class_31,2,AqTMK_185_final.txt,AqTMK_185,AqTMK_185_final.txt;AqTMK_220_final.txt,AqTMK_185;AqTMK_220
class_32,1,AqTMK_196_final.txt,AqTMK_196,AqTMK_196_final.txt,AqTMK_196
class_33,1,AqTMK_207_final.txt,AqTMK_207,AqTMK_207_final.txt,AqTMK_207
class_34,1,AqTMK_217_final.txt,AqTMK_217,AqTMK_217_final.txt,AqTMK_217
class_35,1,AqTMK_244_final.txt,AqTMK_244,AqTMK_244_final.txt,AqTMK_244
class_36,1,AqTMK_246_final.txt,AqTMK_246,AqTMK_246_final.txt,AqTMK_246
class_37,1,AqTMK_261_final.txt,AqTMK_261,AqTMK_261_final.txt,AqTMK_261
class_38,1,AqTMK_281_final.txt,AqTMK_281,AqTMK_281_final.txt,AqTMK_281
class_39,2,AqTMK_69_final.txt,AqTMK_69,AqTMK_69_final.txt;AqTMK_287_final.txt,AqTMK_69;AqTMK_287
class_40,1,AqTMK_87_final.txt,AqTMK_87,AqTMK_87_final.txt,AqTMK_87
class_41,2,AqTMK_95_final.txt,AqTMK_95,AqTMK_95_final.txt;AqTMK_120_final.txt,AqTMK_95;AqTMK_120
class_42,3,AqTMK_109_final.txt,AqTMK_109,AqTMK_109_final.txt;AqTMK_171_final.txt;AqTMK_186_final.txt,AqTMK_109;AqTMK_171;AqTMK_186
class_43,1,AqTMK_111_final.txt,AqTMK_111,AqTMK_111_final.txt,AqTMK_111
class_44,2,AqTMK_116_final.txt,AqTMK_116,AqTMK_116_final.txt;AqTMK_163_final.txt,AqTMK_116;AqTMK_163
class_45,1,AqTMK_139_final.txt,AqTMK_139,AqTMK_139_final.txt,AqTMK_139
class_46,1,AqTMK_156_final.txt,AqTMK_156,AqTMK_156_final.txt,AqTMK_156
class_47,2,AqTMK_197_final.txt,AqTMK_197,AqTMK_197_final.txt;AqTMK_257_final.txt,AqTMK_197;AqTMK_257
class_48,1,AqTMK_200_final.txt,AqTMK_200,AqTMK_200_final.txt,AqTMK_200
class_49,1,AqTMK_208_final.txt,AqTMK_208,AqTMK_208_final.txt,AqTMK_208
class_50,1,AqTMK_223_final.txt,AqTMK_223,AqTMK_223_final.txt,AqTMK_223
class_51,1,AqTMK_229_final.txt,AqTMK_229,AqTMK_229_final.txt,AqTMK_229
class_52,1,AqTMK_230_final.txt,AqTMK_230,AqTMK_230_final.txt,AqTMK_230
class_53,1,AqTMK_231_final.txt,AqTMK_231,AqTMK_231_final.txt,AqTMK_231
class_54,1,AqTMK_233_final.txt,AqTMK_233,AqTMK_233_final.txt,AqTMK_233
class_55,1,AqTMK_259_final.txt,AqTMK_259,AqTMK_259_final.txt,AqTMK_259
class_56,1,AqTMK_262_final.txt,AqTMK_262,AqTMK_262_final.txt,AqTMK_262
class_57,2,AqTMK_270_final.txt,AqTMK_270,AqTMK_270_final.txt;AqTMK_285_final.txt,AqTMK_270;AqTMK_285
class_58,1,AqTMK_273_final.txt,AqTMK_273,AqTMK_273_final.txt,AqTMK_273
class_59,1,AqTMK_284_final.txt,AqTMK_284,AqTMK_284_final.txt,AqTMK_284
class_60,1,AqTMK_295_final.txt,AqTMK_295,AqTMK_295_final.txt,AqTMK_295
class_61,1,AqTMK_311_final.txt,AqTMK_311,AqTMK_311_final.txt,AqTMK_311
class_62,26,AqTMK_54_final.txt,AqTMK_54,AqTMK_54_final.txt;AqTMK_56_final.txt;AqTMK_59_final.txt;AqTMK_62_final.txt;AqTMK_63_final.txt;AqTMK_68_final.txt;AqTMK_70_final.txt;AqTMK_79_final.txt;AqTMK_81_final.txt;AqTMK_84_final.txt;AqTMK_82_final.txt;AqTMK_89_final.txt;AqTMK_91_final.txt;AqTMK_93_final.txt;AqTMK_99_final.txt;AqTMK_101_final.txt;AqTMK_103_final.txt;AqTMK_104_final.txt;AqTMK_106_final.txt;AqTMK_114_final.txt;AqTMK_117_final.txt;AqTMK_131_final.txt;AqTMK_165_final.txt;AqTMK_218_final.txt;AqTMK_236_final.txt;AqTMK_263_final.txt,AqTMK_54;AqTMK_56;AqTMK_59;AqTMK_62;AqTMK_63;AqTMK_68;AqTMK_70;AqTMK_79;AqTMK_81;AqTMK_84;AqTMK_82;AqTMK_89;AqTMK_91;AqTMK_93;AqTMK_99;AqTMK_101;AqTMK_103;AqTMK_104;AqTMK_106;AqTMK_114;AqTMK_117;AqTMK_131;AqTMK_165;AqTMK_218;AqTMK_236;AqTMK_263
class_63,4,AqTMK_85_final.txt,AqTMK_85,AqTMK_85_final.txt;AqTMK_118_final.txt;AqTMK_188_final.txt;AqTMK_274_final.txt,AqTMK_85;AqTMK_118;AqTMK_188;AqTMK_274
class_64,1,AqTMK_98_final.txt,AqTMK_98,AqTMK_98_final.txt,AqTMK_98
class_65,4,AqTMK_149_final.txt,AqTMK_149,AqTMK_149_final.txt;AqTMK_181_final.txt;AqTMK_198_final.txt;AqTMK_224_final.txt,AqTMK_149;AqTMK_181;AqTMK_198;AqTMK_224
class_66,1,AqTMK_155_final.txt,AqTMK_155,AqTMK_155_final.txt,AqTMK_155
class_67,2,AqTMK_159_final.txt,AqTMK_159,AqTMK_159_final.txt;AqTMK_292_final.txt,AqTMK_159;AqTMK_292
class_68,1,AqTMK_173_final.txt,AqTMK_173,AqTMK_173_final.txt,AqTMK_173
class_69,4,AqTMK_179_final.txt,AqTMK_179,AqTMK_179_final.txt;AqTMK_187_final.txt;AqTMK_249_final.txt;AqTMK_267_final.txt,AqTMK_179;AqTMK_187;AqTMK_249;AqTMK_267
class_70,1,AqTMK_191_final.txt,AqTMK_191,AqTMK_191_final.txt,AqTMK_191
