class,graph_file,structure_id,representative_graph,representative_structure_id,class_size,provisional_class
class_1,AqTMK_1_final.txt,AqTMK_1,AqTMK_1_final.txt,AqTMK_1,2,class_1
class_1,AqTMK_12_final.txt,AqTMK_12,AqTMK_1_final.txt,AqTMK_1,2,class_1
class_2,AqTMK_30_final.txt,AqTMK_30,AqTMK_30_final.txt,AqTMK_30,1,class_2
class_3,AqTMK_35_final.txt,AqTMK_35,AqTMK_35_final.txt,AqTMK_35,1,class_3
class_4,AqTMK_65_final.txt,AqTMK_65,AqTMK_65_final.txt,AqTMK_65,1,class_4
class_5,AqTMK_8_final.txt,AqTMK_8,AqTMK_8_final.txt,AqTMK_8,2,class_5
class_5,AqTMK_21_final.txt,AqTMK_21,AqTMK_8_final.txt,AqTMK_8,2,class_5
class_6,AqTMK_10_final.txt,AqTMK_10,AqTMK_10_final.txt,AqTMK_10,1,class_6
class_7,AqTMK_16_final.txt,AqTMK_16,AqTMK_16_final.txt,AqTMK_16,1,class_7
class_8,AqTMK_26_final.txt,AqTMK_26,AqTMK_26_final.txt,AqTMK_26,1,class_8
class_9,AqTMK_39_final.txt,AqTMK_39,AqTMK_39_final.txt,AqTMK_39,1,class_9
class_10,AqTMK_41_final.txt,AqTMK_41,AqTMK_41_final.txt,AqTMK_41,1,class_10
class_11,AqTMK_44_final.txt,AqTMK_44,AqTMK_44_final.txt,AqTMK_44,1,class_11
class_12,AqTMK_46_final.txt,AqTMK_46,AqTMK_46_final.txt,AqTMK_46,2,class_12
class_12,AqTMK_97_final.txt,AqTMK_97,AqTMK_46_final.txt,AqTMK_46,2,class_12
class_13,AqTMK_58_final.txt,AqTMK_58,AqTMK_58_final.txt,AqTMK_58,2,class_13
class_13,AqTMK_60_final.txt,AqTMK_60,AqTMK_58_final.txt,AqTMK_58,2,class_13
class_14,AqTMK_88_final.txt,AqTMK_88,AqTMK_88_final.txt,AqTMK_88,1,class_14
class_15,AqTMK_134_final.txt,AqTMK_134,AqTMK_134_final.txt,AqTMK_134,1,class_15
class_16,AqTMK_140_final.txt,AqTMK_140,AqTMK_140_final.txt,AqTMK_140,1,class_16
class_17,AqTMK_228_final.txt,AqTMK_228,AqTMK_228_final.txt,AqTMK_228,1,class_17
class_18,AqTMK_2_final.txt,AqTMK_2,AqTMK_2_final.txt,AqTMK_2,4,class_18
class_18,AqTMK_6_final.txt,AqTMK_6,AqTMK_2_final.txt,AqTMK_2,4,class_18
class_18,AqTMK_13_final.txt,AqTMK_13,AqTMK_2_final.txt,AqTMK_2,4,class_18
class_18,AqTMK_22_final.txt,AqTMK_22,AqTMK_2_final.txt,AqTMK_2,4,class_18
class_19,AqTMK_9_final.txt,AqTMK_9,AqTMK_9_final.txt,AqTMK_9,1,class_19
class_20,AqTMK_15_final.txt,AqTMK_15,AqTMK_15_final.txt,AqTMK_15,1,class_20
class_21,AqTMK_17_final.txt,AqTMK_17,AqTMK_17_final.txt,AqTMK_17,1,class_21
class_22,AqTMK_28_final.txt,AqTMK_28,AqTMK_28_final.txt,AqTMK_28,1,class_22
class_23,AqTMK_37_final.txt,AqTMK_37,AqTMK_37_final.txt,AqTMK_37,1,class_23
class_24,AqTMK_38_final.txt,AqTMK_38,AqTMK_38_final.txt,AqTMK_38,1,class_24
class_25,AqTMK_77_final.txt,AqTMK_77,AqTMK_77_final.txt,AqTMK_77,1,class_25
class_26,AqTMK_5_final.txt,AqTMK_5,AqTMK_5_final.txt,AqTMK_5,1,class_26
class_27,AqTMK_14_final.txt,AqTMK_14,AqTMK_14_final.txt,AqTMK_14,1,class_27
class_28,AqTMK_23_final.txt,AqTMK_23,AqTMK_23_final.txt,AqTMK_23,1,class_28
class_29,AqTMK_214_final.txt,AqTMK_214,AqTMK_214_final.txt,AqTMK_214,1,class_29
class_30,AqTMK_128_final.txt,AqTMK_128,AqTMK_128_final.txt,AqTMK_128,2,class_30
class_30,AqTMK_175_final.txt,AqTMK_175,AqTMK_128_final.txt,AqTMK_128,2,class_30
class_31,AqTMK_185_final.txt,AqTMK_185,AqTMK_185_final.txt,AqTMK_185,2,class_31
class_31,AqTMK_220_final.txt,AqTMK_220,AqTMK_185_final.txt,AqTMK_185,2,class_31
class_32,AqTMK_196_final.txt,AqTMK_196,AqTMK_196_final.txt,AqTMK_196,1,class_32
class_33,AqTMK_207_final.txt,AqTMK_207,AqTMK_207_final.txt,AqTMK_207,1,class_33
class_34,AqTMK_217_final.txt,AqTMK_217,AqTMK_217_final.txt,AqTMK_217,1,class_34
class_35,AqTMK_244_final.txt,AqTMK_244,AqTMK_244_final.txt,AqTMK_244,1,class_35
class_36,AqTMK_246_final.txt,AqTMK_246,AqTMK_246_final.txt,AqTMK_246,1,class_36
class_37,AqTMK_261_final.txt,AqTMK_261,AqTMK_261_final.txt,AqTMK_261,1,class_37
class_38,AqTMK_281_final.txt,AqTMK_281,AqTMK_281_final.txt,AqTMK_281,1,class_38
class_39,AqTMK_69_final.txt,AqTMK_69,AqTMK_69_final.txt,AqTMK_69,2,class_39
class_39,AqTMK_287_final.txt,AqTMK_287,AqTMK_69_final.txt,AqTMK_69,2,class_39
class_40,AqTMK_87_final.txt,AqTMK_87,AqTMK_87_final.txt,AqTMK_87,1,class_40
class_41,AqTMK_95_final.txt,AqTMK_95,AqTMK_95_final.txt,AqTMK_95,2,class_41
class_41,AqTMK_120_final.txt,AqTMK_120,AqTMK_95_final.txt,AqTMK_95,2,class_41
class_42,AqTMK_109_final.txt,AqTMK_109,AqTMK_109_final.txt,AqTMK_109,3,class_42
class_42,AqTMK_171_final.txt,AqTMK_171,AqTMK_109_final.txt,AqTMK_109,3,class_42
class_42,AqTMK_186_final.txt,AqTMK_186,AqTMK_109_final.txt,AqTMK_109,3,class_42
class_43,AqTMK_111_final.txt,AqTMK_111,AqTMK_111_final.txt,AqTMK_111,1,class_43
class_44,AqTMK_116_final.txt,AqTMK_116,AqTMK_116_final.txt,AqTMK_116,2,class_44
class_44,AqTMK_163_final.txt,AqTMK_163,AqTMK_116_final.txt,AqTMK_116,2,class_44
class_45,AqTMK_139_final.txt,AqTMK_139,AqTMK_139_final.txt,AqTMK_139,1,class_45
class_46,AqTMK_156_final.txt,AqTMK_156,AqTMK_156_final.txt,AqTMK_156,1,class_46
class_47,AqTMK_197_final.txt,AqTMK_197,AqTMK_197_final.txt,AqTMK_197,2,class_47
class_47,AqTMK_257_final.txt,AqTMK_257,AqTMK_197_final.txt,AqTMK_197,2,class_47
class_48,AqTMK_200_final.txt,AqTMK_200,AqTMK_200_final.txt,AqTMK_200,1,class_48
