class,representative_graph,representative_structure_id,class_size
class_1,AqTMK_1_final.txt,AqTMK_1,2
class_2,AqTMK_30_final.txt,AqTMK_30,1
class_3,AqTMK_35_final.txt,AqTMK_35,1
class_4,AqTMK_65_final.txt,AqTMK_65,1
class_5,AqTMK_8_final.txt,AqTMK_8,2
class_6,AqTMK_10_final.txt,AqTMK_10,1
class_7,AqTMK_16_final.txt,AqTMK_16,1
class_8,AqTMK_26_final.txt,AqTMK_26,1
class_9,AqTMK_39_final.txt,AqTMK_39,1
class_10,AqTMK_41_final.txt,AqTMK_41,1
class_11,AqTMK_44_final.txt,AqTMK_44,1
class_12,AqTMK_46_final.txt,AqTMK_46,2
class_13,AqTMK_58_final.txt,AqTMK_58,2
class_14,AqTMK_88_final.txt,AqTMK_88,1
class_15,AqTMK_134_final.txt,AqTMK_134,1
class_16,AqTMK_140_final.txt,AqTMK_140,1
class_17,AqTMK_228_final.txt,AqTMK_228,1
class_18,AqTMK_2_final.txt,AqTMK_2,4
class_19,AqTMK_9_final.txt,AqTMK_9,1
class_20,AqTMK_15_final.txt,AqTMK_15,1
class_21,AqTMK_17_final.txt,AqTMK_17,1
class_22,AqTMK_28_final.txt,AqTMK_28,1
class_23,AqTMK_37_final.txt,AqTMK_37,1
class_24,AqTMK_38_final.txt,AqTMK_38,1
class_25,AqTMK_77_final.txt,AqTMK_77,1
class_26,AqTMK_5_final.txt,AqTMK_5,1
class_27,AqTMK_14_final.txt,AqTMK_14,1
class_28,AqTMK_23_final.txt,AqTMK_23,1
class_29,AqTMK_214_final.txt,AqTMK_214,1
class_30,AqTMK_128_final.txt,AqTMK_128,2
class_31,AqTMK_185_final.txt,AqTMK_185,2
class_32,AqTMK_196_final.txt,AqTMK_196,1
class_33,AqTMK_207_final.txt,AqTMK_207,1
class_34,AqTMK_217_final.txt,AqTMK_217,1
class_35,AqTMK_244_final.txt,AqTMK_244,1
class_36,AqTMK_246_final.txt,AqTMK_246,1
class_37,AqTMK_261_final.txt,AqTMK_261,1
class_38,AqTMK_281_final.txt,AqTMK_281,1
class_39,AqTMK_69_final.txt,AqTMK_69,2
class_40,AqTMK_87_final.txt,AqTMK_87,1
class_41,AqTMK_95_final.txt,AqTMK_95,2
class_42,AqTMK_109_final.txt,AqTMK_109,3
class_43,AqTMK_111_final.txt,AqTMK_111,1
class_44,AqTMK_116_final.txt,AqTMK_116,2
class_45,AqTMK_139_final.txt,AqTMK_139,1
class_46,AqTMK_156_final.txt,AqTMK_156,1
class_47,AqTMK_197_final.txt,AqTMK_197,2
class_48,AqTMK_200_final.txt,AqTMK_200,1
class_49,AqTMK_208_final.txt,AqTMK_208,1
class_50,AqTMK_223_final.txt,AqTMK_223,1
class_51,AqTMK_229_final.txt,AqTMK_229,1
class_52,AqTMK_230_final.txt,AqTMK_230,1
class_53,AqTMK_231_final.txt,AqTMK_231,1
class_54,AqTMK_233_final.txt,AqTMK_233,1
class_55,AqTMK_259_final.txt,AqTMK_259,1
class_56,AqTMK_262_final.txt,AqTMK_262,1
class_57,AqTMK_270_final.txt,AqTMK_270,2
class_58,AqTMK_273_final.txt,AqTMK_273,1
class_59,AqTMK_284_final.txt,AqTMK_284,1
class_60,AqTMK_295_final.txt,AqTMK_295,1
class_61,AqTMK_311_final.txt,AqTMK_311,1
class_62,AqTMK_54_final.txt,AqTMK_54,26
class_63,AqTMK_85_final.txt,AqTMK_85,4
class_64,AqTMK_98_final.txt,AqTMK_98,1
class_65,AqTMK_149_final.txt,AqTMK_149,4
class_66,AqTMK_155_final.txt,AqTMK_155,1
class_67,AqTMK_159_final.txt,AqTMK_159,2
class_68,AqTMK_173_final.txt,AqTMK_173,1
class_69,AqTMK_179_final.txt,AqTMK_179,4
class_70,AqTMK_191_final.txt,AqTMK_191,1
class_71,AqTMK_219_final.txt,AqTMK_219,1
class_72,AqTMK_234_final.txt,AqTMK_234,3
class_73,AqTMK_240_final.txt,AqTMK_240,1
class_74,AqTMK_242_final.txt,AqTMK_242,1
class_75,AqTMK_275_final.txt,AqTMK_275,1
class_76,AqTMK_279_final.txt,AqTMK_279,1
class_77,AqTMK_286_final.txt,AqTMK_286,1
class_78,AqTMK_290_final.txt,AqTMK_290,1
class_79,AqTMK_299_final.txt,AqTMK_299,1
class_80,AqTMK_309_final.txt,AqTMK_309,1
class_81,AqTMK_45_final.txt,AqTMK_45,1
class_82,AqTMK_47_final.txt,AqTMK_47,9
class_83,AqTMK_53_final.txt,AqTMK_53,3
class_84,AqTMK_57_final.txt,AqTMK_57,5
class_85,AqTMK_73_final.txt,AqTMK_73,2
class_86,AqTMK_110_final.txt,AqTMK_110,1
class_87,AqTMK_123_final.txt,AqTMK_123,1
class_88,AqTMK_167_final.txt,AqTMK_167,2
class_89,AqTMK_178_final.txt,AqTMK_178,1
class_90,AqTMK_184_final.txt,AqTMK_184,1
class_91,AqTMK_195_final.txt,AqTMK_195,1
class_92,AqTMK_211_final.txt,AqTMK_211,1
class_93,AqTMK_238_final.txt,AqTMK_238,1
class_94,AqTMK_276_final.txt,AqTMK_276,1
class_95,AqTMK_277_final.txt,AqTMK_277,2
class_96,AqTMK_33_final.txt,AqTMK_33,2
class_97,AqTMK_43_final.txt,AqTMK_43,1
class_98,AqTMK_49_final.txt,AqTMK_49,4
class_99,AqTMK_153_final.txt,AqTMK_153,2
class_100,AqTMK_193_final.txt,AqTMK_193,1
class_101,AqTMK_121_final.txt,AqTMK_121,1
