structure_id,merged_class,source_pdb_path,exported_pdb_path,mode
AqTMK_1,class_1,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1/AqTMK_1_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_1/AqTMK_1.pdb,copy
AqTMK_12,class_1,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_12/AqTMK_12_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_1/AqTMK_12.pdb,copy
AqTMK_30,class_1,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_30/AqTMK_30_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_1/AqTMK_30.pdb,copy
AqTMK_65,class_3,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65/AqTMK_65_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_3/AqTMK_65.pdb,copy
AqTMK_10,class_5,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10/AqTMK_10_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_5/AqTMK_10.pdb,copy
AqTMK_44,class_9,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44/AqTMK_44_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_9/AqTMK_44.pdb,copy
AqTMK_140,class_9,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_140/AqTMK_140_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_9/AqTMK_140.pdb,copy
AqTMK_228,class_13,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_228/AqTMK_228_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_13/AqTMK_228.pdb,copy
AqTMK_111,class_33,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_111/AqTMK_111_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_33/AqTMK_111.pdb,copy
AqTMK_223,class_39,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_223/AqTMK_223_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_39/AqTMK_223.pdb,copy
AqTMK_231,class_41,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_231/AqTMK_231_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/08_chemical_equivalence/candidate_exports/pdbs/class_41/AqTMK_231.pdb,copy
