merged_class,structure_id,file_type,source,action
class_1,AqTMK_1,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1,copy
class_1,AqTMK_1,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_1_complex.pdb,copy
class_1,AqTMK_1,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_1/AqTMK_1_final.txt,copy
class_1,AqTMK_12,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_12,copy
class_1,AqTMK_12,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_12_complex.pdb,copy
class_1,AqTMK_12,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_1/AqTMK_12_final.txt,copy
class_1,AqTMK_30,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_30,copy
class_1,AqTMK_30,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_30_complex.pdb,copy
class_1,AqTMK_30,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_2/AqTMK_30_final.txt,copy
class_3,AqTMK_65,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65,copy
class_3,AqTMK_65,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_65_complex.pdb,copy
class_3,AqTMK_65,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_4/AqTMK_65_final.txt,copy
class_5,AqTMK_10,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10,copy
class_5,AqTMK_10,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_10_complex.pdb,copy
class_5,AqTMK_10,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_6/AqTMK_10_final.txt,copy
class_9,AqTMK_44,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44,copy
class_9,AqTMK_44,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_44_complex.pdb,copy
class_9,AqTMK_44,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_11/AqTMK_44_final.txt,copy
class_9,AqTMK_140,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_140,copy
class_9,AqTMK_140,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_140_complex.pdb,copy
class_9,AqTMK_140,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_16/AqTMK_140_final.txt,copy
class_13,AqTMK_228,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_228,copy
class_13,AqTMK_228,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_228_complex.pdb,copy
class_13,AqTMK_228,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_17/AqTMK_228_final.txt,copy
class_33,AqTMK_111,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_111,copy
class_33,AqTMK_111,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_111_complex.pdb,copy
class_33,AqTMK_111,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_43/AqTMK_111_final.txt,copy
class_39,AqTMK_223,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_223,copy
class_39,AqTMK_223,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_223_complex.pdb,copy
class_39,AqTMK_223,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_50/AqTMK_223_final.txt,copy
class_41,AqTMK_231,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_231,copy
class_41,AqTMK_231,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_231_complex.pdb,copy
class_41,AqTMK_231,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_53/AqTMK_231_final.txt,copy
