merged_class,label,representative_structure_id,structure_ids,n_structures,is_catalytic_candidate,input_folder,input_source,graph_file,representative_pdb_path,original_classes,n_common_edges_missing,missing_common_edges,n_rare_edges_present,rare_edges_present,panel_svg,panel_png,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_1,Class 1,AqTMK_1,AqTMK_1;AqTMK_12;AqTMK_30,3,True,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_1/AqTMK_1_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_1_complex.pdb,class_1;class_2,0,,1,K143 | Polar contact | ATP phosphate 3 unit,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_1.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_1.png,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_2,Class 2,AqTMK_35,AqTMK_35,1,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_35,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_3/AqTMK_35_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_35_complex.pdb,class_3,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_2.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_2.png,ok,21,18,14,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_3,Class 3,AqTMK_65,AqTMK_65,1,True,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_4/AqTMK_65_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_65_complex.pdb,class_4,0,,1,K143 | Polar contact | ATP phosphate 3 unit,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_3.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_3.png,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_4,Class 4,AqTMK_8,AqTMK_8;AqTMK_21;AqTMK_26;AqTMK_46;AqTMK_97,5,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_8,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_5/AqTMK_8_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_8_complex.pdb,class_5;class_8;class_12,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_4.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_4.png,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_5,Class 5,AqTMK_10,AqTMK_10,1,True,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_6/AqTMK_10_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_10_complex.pdb,class_6,0,,1,K143 | Polar contact | ATP phosphate 3 unit,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_5.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_5.png,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_6,Class 6,AqTMK_16,AqTMK_16,1,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_16,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_7/AqTMK_16_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_16_complex.pdb,class_7,1,S11 | Polar contact | ATP phosphate 2 unit,2,K143 | Polar contact | ATP phosphate 3 unit;S11 | Polar contact | ATP phosphate 2–3 bridging oxygen,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_6.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_6.png,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_7,Class 7,AqTMK_39,AqTMK_39,1,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_39,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_9/AqTMK_39_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_39_complex.pdb,class_9,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_7.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_7.png,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_8,Class 8,AqTMK_41,AqTMK_41,1,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_41,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_10/AqTMK_41_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_41_complex.pdb,class_10,1,R47 | Polar contact | dTMP phosphate unit,1,K143 | Polar contact | ATP phosphate 3 unit,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_8.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_8.png,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_9,Class 9,AqTMK_44,AqTMK_44;AqTMK_140,2,True,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_11/AqTMK_44_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_44_complex.pdb,class_11;class_16,0,,1,K143 | Polar contact | ATP phosphate 3 unit,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_9.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_9.png,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_10,Class 10,AqTMK_58,AqTMK_58;AqTMK_60,2,False,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_58,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/07_ged_classification/classes/class_13/AqTMK_58_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/02_template_guided_docking/complexes/AqTMK_58_complex.pdb,class_13,1,S11 | Polar contact | ATP phosphate 2 unit,3,G12 | Polar contact | ATP phosphate 2–3 bridging oxygen;K143 | Polar contact | ATP phosphate 3 unit;S11 | Polar contact | ATP phosphate 2–3 bridging oxygen,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_10.svg,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/09_class_visualization/figures/class_panels/AqTMK_class_10.png,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
