merged_class,representative_structure_id,input_folder,input_source,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_1,AqTMK_1,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_1,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_2,AqTMK_35,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_35,step06_plip_folder,ok,21,18,14,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_3,AqTMK_65,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_65,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_4,AqTMK_8,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_8,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_5,AqTMK_10,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_10,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_6,AqTMK_16,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_16,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_7,AqTMK_39,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_39,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_8,AqTMK_41,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_41,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_9,AqTMK_44,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_44,step06_plip_folder,ok,21,18,11,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_10,AqTMK_58,/home/wms/AF2-test/AF2-CatGraph/results/AqTMK/05_plip_interaction_graphs/plip_outputs/AqTMK_58,step06_plip_folder,ok,21,18,12,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
