standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
GAC_1,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_1_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_1,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_1/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_1_final.txt,10,10,9,19,12,9,21,success,
GAC_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_2_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_2,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_2/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_2_final.txt,10,10,7,17,10,9,19,success,
GAC_3,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_3_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_3,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_3/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_3_final.txt,10,10,8,18,11,9,20,success,
GAC_4,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_4_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_4,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_4/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_4_final.txt,10,10,8,18,11,9,20,success,
GAC_5,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_5_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_5,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_5/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_5_final.txt,10,10,7,17,10,9,19,success,
GAC_6,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_6_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_6,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_6/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_6_final.txt,10,10,8,18,11,9,20,success,
GAC_7,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_7_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_7,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_7/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_7_final.txt,10,10,7,17,10,9,19,success,
GAC_8,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_8_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_8,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_8/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_8_final.txt,10,10,7,17,10,9,19,success,
GAC_9,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_9_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_9,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_9/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_9_final.txt,10,10,7,17,9,9,18,success,
GAC_10,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_10_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_10,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_10/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_10_final.txt,10,10,7,17,10,9,19,success,
GAC_11,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_11_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_11,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_11/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_11_final.txt,10,10,8,18,10,9,19,success,
GAC_12,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_12_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_12,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_12/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_12_final.txt,10,10,7,17,10,9,19,success,
GAC_13,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_13_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_13,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_13/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_13_final.txt,10,10,7,17,9,9,18,success,
GAC_14,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_14,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_14/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_14_final.txt,10,10,8,18,11,9,20,success,
GAC_15,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_15_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_15,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_15/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_15_final.txt,10,10,7,17,10,9,19,success,
GAC_16,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_16_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_16,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_16/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_16_final.txt,10,10,7,17,10,9,19,success,
GAC_17,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_17,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_17/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_17_final.txt,10,10,8,18,11,9,20,success,
GAC_18,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_18_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_18,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_18/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_18_final.txt,10,10,7,17,10,9,19,success,
GAC_19,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_19_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_19,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_19/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_19_final.txt,10,10,7,17,10,9,19,success,
GAC_20,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_20_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_20,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_20/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_20_final.txt,10,10,7,17,10,9,19,success,
GAC_21,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_21_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_21,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_21/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_21_final.txt,10,10,7,17,10,9,19,success,
GAC_22,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_22_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_22,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_22/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_22_final.txt,10,10,8,18,10,9,19,success,
GAC_23,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_23_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_23,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_23/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_23_final.txt,10,10,7,17,9,9,18,success,
GAC_24,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_24_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_24,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_24/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_24_final.txt,10,10,7,17,10,9,19,success,
GAC_25,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_25_complex.pdb,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_25,results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_25/report.xml,results/GAC/05_plip_interaction_graphs/ged_input_files/GAC_25_final.txt,10,10,7,17,10,9,19,success,
