reference_class,structure_id,reference_representative_structure_id,class_size
class_1,GAC_1,GAC_1,1
class_2,GAC_3,GAC_3,11
class_2,GAC_6,GAC_3,11
class_2,GAC_17,GAC_3,11
class_2,GAC_14,GAC_3,11
class_2,GAC_36,GAC_3,11
class_2,GAC_38,GAC_3,11
class_2,GAC_103,GAC_3,11
class_2,GAC_112,GAC_3,11
class_2,GAC_117,GAC_3,11
class_2,GAC_139,GAC_3,11
class_2,GAC_237,GAC_3,11
class_3,GAC_4,GAC_4,4
class_3,GAC_60,GAC_4,4
class_3,GAC_205,GAC_4,4
class_3,GAC_253,GAC_4,4
class_4,GAC_105,GAC_105,6
class_4,GAC_128,GAC_105,6
class_4,GAC_129,GAC_105,6
class_4,GAC_171,GAC_105,6
class_4,GAC_179,GAC_105,6
class_4,GAC_254,GAC_105,6
class_5,GAC_181,GAC_181,1
class_6,GAC_2,GAC_2,140
class_6,GAC_5,GAC_2,140
class_6,GAC_7,GAC_2,140
class_6,GAC_8,GAC_2,140
class_6,GAC_10,GAC_2,140
class_6,GAC_12,GAC_2,140
class_6,GAC_15,GAC_2,140
class_6,GAC_16,GAC_2,140
class_6,GAC_18,GAC_2,140
class_6,GAC_19,GAC_2,140
class_6,GAC_20,GAC_2,140
class_6,GAC_21,GAC_2,140
class_6,GAC_24,GAC_2,140
class_6,GAC_25,GAC_2,140
class_6,GAC_26,GAC_2,140
class_6,GAC_27,GAC_2,140
class_6,GAC_29,GAC_2,140
class_6,GAC_31,GAC_2,140
class_6,GAC_32,GAC_2,140
class_6,GAC_33,GAC_2,140
class_6,GAC_34,GAC_2,140
class_6,GAC_35,GAC_2,140
class_6,GAC_39,GAC_2,140
class_6,GAC_37,GAC_2,140
class_6,GAC_40,GAC_2,140
class_6,GAC_41,GAC_2,140
class_6,GAC_42,GAC_2,140
class_6,GAC_45,GAC_2,140
class_6,GAC_46,GAC_2,140
class_6,GAC_47,GAC_2,140
class_6,GAC_49,GAC_2,140
class_6,GAC_48,GAC_2,140
class_6,GAC_50,GAC_2,140
class_6,GAC_51,GAC_2,140
class_6,GAC_52,GAC_2,140
class_6,GAC_53,GAC_2,140
class_6,GAC_54,GAC_2,140
class_6,GAC_55,GAC_2,140
class_6,GAC_57,GAC_2,140
class_6,GAC_58,GAC_2,140
class_6,GAC_61,GAC_2,140
class_6,GAC_62,GAC_2,140
class_6,GAC_63,GAC_2,140
class_6,GAC_65,GAC_2,140
class_6,GAC_66,GAC_2,140
class_6,GAC_67,GAC_2,140
class_6,GAC_69,GAC_2,140
class_6,GAC_70,GAC_2,140
class_6,GAC_71,GAC_2,140
class_6,GAC_72,GAC_2,140
class_6,GAC_73,GAC_2,140
class_6,GAC_74,GAC_2,140
class_6,GAC_75,GAC_2,140
class_6,GAC_76,GAC_2,140
class_6,GAC_78,GAC_2,140
class_6,GAC_77,GAC_2,140
class_6,GAC_79,GAC_2,140
class_6,GAC_80,GAC_2,140
class_6,GAC_81,GAC_2,140
class_6,GAC_88,GAC_2,140
class_6,GAC_89,GAC_2,140
class_6,GAC_92,GAC_2,140
class_6,GAC_91,GAC_2,140
class_6,GAC_93,GAC_2,140
class_6,GAC_94,GAC_2,140
class_6,GAC_97,GAC_2,140
class_6,GAC_98,GAC_2,140
class_6,GAC_99,GAC_2,140
class_6,GAC_100,GAC_2,140
class_6,GAC_102,GAC_2,140
class_6,GAC_104,GAC_2,140
class_6,GAC_109,GAC_2,140
class_6,GAC_111,GAC_2,140
class_6,GAC_113,GAC_2,140
class_6,GAC_114,GAC_2,140
class_6,GAC_116,GAC_2,140
class_6,GAC_118,GAC_2,140
class_6,GAC_119,GAC_2,140
class_6,GAC_120,GAC_2,140
class_6,GAC_123,GAC_2,140
class_6,GAC_124,GAC_2,140
class_6,GAC_130,GAC_2,140
class_6,GAC_131,GAC_2,140
class_6,GAC_132,GAC_2,140
class_6,GAC_133,GAC_2,140
class_6,GAC_135,GAC_2,140
class_6,GAC_137,GAC_2,140
class_6,GAC_134,GAC_2,140
class_6,GAC_144,GAC_2,140
class_6,GAC_145,GAC_2,140
class_6,GAC_147,GAC_2,140
class_6,GAC_149,GAC_2,140
class_6,GAC_150,GAC_2,140
class_6,GAC_151,GAC_2,140
