class,class_size,representative_graph,representative_structure_id,members,structure_ids
class_1,1,GAC_1_final.txt,GAC_1,GAC_1_final.txt,GAC_1
class_2,11,GAC_3_final.txt,GAC_3,GAC_3_final.txt;GAC_6_final.txt;GAC_17_final.txt;GAC_14_final.txt;GAC_36_final.txt;GAC_38_final.txt;GAC_103_final.txt;GAC_112_final.txt;GAC_117_final.txt;GAC_139_final.txt;GAC_237_final.txt,GAC_3;GAC_6;GAC_17;GAC_14;GAC_36;GAC_38;GAC_103;GAC_112;GAC_117;GAC_139;GAC_237
class_3,4,GAC_4_final.txt,GAC_4,GAC_4_final.txt;GAC_60_final.txt;GAC_205_final.txt;GAC_253_final.txt,GAC_4;GAC_60;GAC_205;GAC_253
class_4,6,GAC_105_final.txt,GAC_105,GAC_105_final.txt;GAC_128_final.txt;GAC_129_final.txt;GAC_171_final.txt;GAC_179_final.txt;GAC_254_final.txt,GAC_105;GAC_128;GAC_129;GAC_171;GAC_179;GAC_254
class_5,1,GAC_181_final.txt,GAC_181,GAC_181_final.txt,GAC_181
class_6,140,GAC_2_final.txt,GAC_2,GAC_2_final.txt;GAC_5_final.txt;GAC_7_final.txt;GAC_8_final.txt;GAC_10_final.txt;GAC_12_final.txt;GAC_15_final.txt;GAC_16_final.txt;GAC_18_final.txt;GAC_19_final.txt;GAC_20_final.txt;GAC_21_final.txt;GAC_24_final.txt;GAC_25_final.txt;GAC_26_final.txt;GAC_27_final.txt;GAC_29_final.txt;GAC_31_final.txt;GAC_32_final.txt;GAC_33_final.txt;GAC_34_final.txt;GAC_35_final.txt;GAC_39_final.txt;GAC_37_final.txt;GAC_40_final.txt;GAC_41_final.txt;GAC_42_final.txt;GAC_45_final.txt;GAC_46_final.txt;GAC_47_final.txt;GAC_49_final.txt;GAC_48_final.txt;GAC_50_final.txt;GAC_51_final.txt;GAC_52_final.txt;GAC_53_final.txt;GAC_54_final.txt;GAC_55_final.txt;GAC_57_final.txt;GAC_58_final.txt;GAC_61_final.txt;GAC_62_final.txt;GAC_63_final.txt;GAC_65_final.txt;GAC_66_final.txt;GAC_67_final.txt;GAC_69_final.txt;GAC_70_final.txt;GAC_71_final.txt;GAC_72_final.txt;GAC_73_final.txt;GAC_74_final.txt;GAC_75_final.txt;GAC_76_final.txt;GAC_78_final.txt;GAC_77_final.txt;GAC_79_final.txt;GAC_80_final.txt;GAC_81_final.txt;GAC_88_final.txt;GAC_89_final.txt;GAC_92_final.txt;GAC_91_final.txt;GAC_93_final.txt;GAC_94_final.txt;GAC_97_final.txt;GAC_98_final.txt;GAC_99_final.txt;GAC_100_final.txt;GAC_102_final.txt;GAC_104_final.txt;GAC_109_final.txt;GAC_111_final.txt;GAC_113_final.txt;GAC_114_final.txt;GAC_116_final.txt;GAC_118_final.txt;GAC_119_final.txt;GAC_120_final.txt;GAC_123_final.txt;GAC_124_final.txt;GAC_130_final.txt;GAC_131_final.txt;GAC_132_final.txt;GAC_133_final.txt;GAC_135_final.txt;GAC_137_final.txt;GAC_134_final.txt;GAC_144_final.txt;GAC_145_final.txt;GAC_147_final.txt;GAC_149_final.txt;GAC_150_final.txt;GAC_151_final.txt;GAC_152_final.txt;GAC_153_final.txt;GAC_154_final.txt;GAC_155_final.txt;GAC_156_final.txt;GAC_159_final.txt;GAC_164_final.txt;GAC_166_final.txt;GAC_167_final.txt;GAC_168_final.txt;GAC_170_final.txt;GAC_172_final.txt;GAC_175_final.txt;GAC_182_final.txt;GAC_183_final.txt;GAC_187_final.txt;GAC_189_final.txt;GAC_190_final.txt;GAC_191_final.txt;GAC_192_final.txt;GAC_199_final.txt;GAC_193_final.txt;GAC_201_final.txt;GAC_200_final.txt;GAC_206_final.txt;GAC_207_final.txt;GAC_209_final.txt;GAC_210_final.txt;GAC_211_final.txt;GAC_214_final.txt;GAC_215_final.txt;GAC_217_final.txt;GAC_218_final.txt;GAC_219_final.txt;GAC_220_final.txt;GAC_221_final.txt;GAC_222_final.txt;GAC_223_final.txt;GAC_228_final.txt;GAC_227_final.txt;GAC_233_final.txt;GAC_234_final.txt;GAC_236_final.txt;GAC_242_final.txt;GAC_260_final.txt;GAC_258_final.txt,GAC_2;GAC_5;GAC_7;GAC_8;GAC_10;GAC_12;GAC_15;GAC_16;GAC_18;GAC_19;GAC_20;GAC_21;GAC_24;GAC_25;GAC_26;GAC_27;GAC_29;GAC_31;GAC_32;GAC_33;GAC_34;GAC_35;GAC_39;GAC_37;GAC_40;GAC_41;GAC_42;GAC_45;GAC_46;GAC_47;GAC_49;GAC_48;GAC_50;GAC_51;GAC_52;GAC_53;GAC_54;GAC_55;GAC_57;GAC_58;GAC_61;GAC_62;GAC_63;GAC_65;GAC_66;GAC_67;GAC_69;GAC_70;GAC_71;GAC_72;GAC_73;GAC_74;GAC_75;GAC_76;GAC_78;GAC_77;GAC_79;GAC_80;GAC_81;GAC_88;GAC_89;GAC_92;GAC_91;GAC_93;GAC_94;GAC_97;GAC_98;GAC_99;GAC_100;GAC_102;GAC_104;GAC_109;GAC_111;GAC_113;GAC_114;GAC_116;GAC_118;GAC_119;GAC_120;GAC_123;GAC_124;GAC_130;GAC_131;GAC_132;GAC_133;GAC_135;GAC_137;GAC_134;GAC_144;GAC_145;GAC_147;GAC_149;GAC_150;GAC_151;GAC_152;GAC_153;GAC_154;GAC_155;GAC_156;GAC_159;GAC_164;GAC_166;GAC_167;GAC_168;GAC_170;GAC_172;GAC_175;GAC_182;GAC_183;GAC_187;GAC_189;GAC_190;GAC_191;GAC_192;GAC_199;GAC_193;GAC_201;GAC_200;GAC_206;GAC_207;GAC_209;GAC_210;GAC_211;GAC_214;GAC_215;GAC_217;GAC_218;GAC_219;GAC_220;GAC_221;GAC_222;GAC_223;GAC_228;GAC_227;GAC_233;GAC_234;GAC_236;GAC_242;GAC_260;GAC_258
class_7,11,GAC_11_final.txt,GAC_11,GAC_11_final.txt;GAC_28_final.txt;GAC_87_final.txt;GAC_101_final.txt;GAC_108_final.txt;GAC_163_final.txt;GAC_174_final.txt;GAC_208_final.txt;GAC_212_final.txt;GAC_239_final.txt;GAC_246_final.txt,GAC_11;GAC_28;GAC_87;GAC_101;GAC_108;GAC_163;GAC_174;GAC_208;GAC_212;GAC_239;GAC_246
class_8,2,GAC_22_final.txt,GAC_22,GAC_22_final.txt;GAC_195_final.txt,GAC_22;GAC_195
class_9,1,GAC_106_final.txt,GAC_106,GAC_106_final.txt,GAC_106
class_10,1,GAC_204_final.txt,GAC_204,GAC_204_final.txt,GAC_204
