class,graph_file,structure_id,representative_graph,representative_structure_id,class_size,provisional_class
class_1,GAC_1_final.txt,GAC_1,GAC_1_final.txt,GAC_1,1,class_1
class_2,GAC_3_final.txt,GAC_3,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_6_final.txt,GAC_6,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_17_final.txt,GAC_17,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_14_final.txt,GAC_14,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_36_final.txt,GAC_36,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_38_final.txt,GAC_38,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_103_final.txt,GAC_103,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_112_final.txt,GAC_112,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_117_final.txt,GAC_117,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_139_final.txt,GAC_139,GAC_3_final.txt,GAC_3,11,class_2
class_2,GAC_237_final.txt,GAC_237,GAC_3_final.txt,GAC_3,11,class_2
class_3,GAC_4_final.txt,GAC_4,GAC_4_final.txt,GAC_4,4,class_3
class_3,GAC_60_final.txt,GAC_60,GAC_4_final.txt,GAC_4,4,class_3
class_3,GAC_205_final.txt,GAC_205,GAC_4_final.txt,GAC_4,4,class_3
class_3,GAC_253_final.txt,GAC_253,GAC_4_final.txt,GAC_4,4,class_3
class_4,GAC_105_final.txt,GAC_105,GAC_105_final.txt,GAC_105,6,class_4
class_4,GAC_128_final.txt,GAC_128,GAC_105_final.txt,GAC_105,6,class_4
class_4,GAC_129_final.txt,GAC_129,GAC_105_final.txt,GAC_105,6,class_4
class_4,GAC_171_final.txt,GAC_171,GAC_105_final.txt,GAC_105,6,class_4
class_4,GAC_179_final.txt,GAC_179,GAC_105_final.txt,GAC_105,6,class_4
class_4,GAC_254_final.txt,GAC_254,GAC_105_final.txt,GAC_105,6,class_4
class_5,GAC_181_final.txt,GAC_181,GAC_181_final.txt,GAC_181,1,class_5
class_6,GAC_2_final.txt,GAC_2,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_5_final.txt,GAC_5,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_7_final.txt,GAC_7,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_8_final.txt,GAC_8,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_10_final.txt,GAC_10,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_12_final.txt,GAC_12,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_15_final.txt,GAC_15,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_16_final.txt,GAC_16,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_18_final.txt,GAC_18,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_19_final.txt,GAC_19,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_20_final.txt,GAC_20,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_21_final.txt,GAC_21,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_24_final.txt,GAC_24,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_25_final.txt,GAC_25,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_26_final.txt,GAC_26,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_27_final.txt,GAC_27,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_29_final.txt,GAC_29,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_31_final.txt,GAC_31,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_32_final.txt,GAC_32,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_33_final.txt,GAC_33,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_34_final.txt,GAC_34,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_35_final.txt,GAC_35,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_39_final.txt,GAC_39,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_37_final.txt,GAC_37,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_40_final.txt,GAC_40,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_41_final.txt,GAC_41,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_42_final.txt,GAC_42,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_45_final.txt,GAC_45,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_46_final.txt,GAC_46,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_47_final.txt,GAC_47,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_49_final.txt,GAC_49,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_48_final.txt,GAC_48,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_50_final.txt,GAC_50,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_51_final.txt,GAC_51,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_52_final.txt,GAC_52,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_53_final.txt,GAC_53,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_54_final.txt,GAC_54,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_55_final.txt,GAC_55,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_57_final.txt,GAC_57,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_58_final.txt,GAC_58,GAC_2_final.txt,GAC_2,140,class_6
class_6,GAC_61_final.txt,GAC_61,GAC_2_final.txt,GAC_2,140,class_6
