class,representative_graph,representative_structure_id,class_size
class_1,GAC_1_final.txt,GAC_1,1
class_2,GAC_3_final.txt,GAC_3,11
class_3,GAC_4_final.txt,GAC_4,4
class_4,GAC_105_final.txt,GAC_105,6
class_5,GAC_181_final.txt,GAC_181,1
class_6,GAC_2_final.txt,GAC_2,140
class_7,GAC_11_final.txt,GAC_11,11
class_8,GAC_22_final.txt,GAC_22,2
class_9,GAC_106_final.txt,GAC_106,1
class_10,GAC_204_final.txt,GAC_204,1
class_11,GAC_9_final.txt,GAC_9,23
class_12,GAC_141_final.txt,GAC_141,6
class_13,GAC_229_final.txt,GAC_229,1
