structure_id,merged_class,source_pdb_path,exported_pdb_path,mode
GAC_1,class_1,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_1/GAC_1_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_1/GAC_1.pdb,copy
GAC_3,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_3/GAC_3_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_3.pdb,copy
GAC_6,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_6/GAC_6_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_6.pdb,copy
GAC_14,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_14/GAC_14_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_14.pdb,copy
GAC_17,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_17/GAC_17_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_17.pdb,copy
GAC_36,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_36/GAC_36_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_36.pdb,copy
GAC_38,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_38/GAC_38_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_38.pdb,copy
GAC_103,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_103/GAC_103_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_103.pdb,copy
GAC_112,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_112/GAC_112_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_112.pdb,copy
GAC_117,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_117/GAC_117_complex_protonated.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_117.pdb,copy
GAC_139,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_139/GAC_139_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_139.pdb,copy
GAC_237,class_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_237/GAC_237_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_2/GAC_237.pdb,copy
GAC_4,class_3,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_4/GAC_4_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/08_chemical_equivalence/candidate_exports/pdbs/class_3/GAC_4.pdb,copy
