merged_class,structure_id,file_type,source,action
class_1,GAC_1,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_1,copy
class_1,GAC_1,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_1_complex.pdb,copy
class_1,GAC_1,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_1/GAC_1_final.txt,copy
class_2,GAC_3,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_3,copy
class_2,GAC_3,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_3_complex.pdb,copy
class_2,GAC_3,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_3_final.txt,copy
class_2,GAC_6,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_6,copy
class_2,GAC_6,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_6_complex.pdb,copy
class_2,GAC_6,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_6_final.txt,copy
class_2,GAC_14,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_14,copy
class_2,GAC_14,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb,copy
class_2,GAC_14,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_14_final.txt,copy
class_2,GAC_17,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_17,copy
class_2,GAC_17,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb,copy
class_2,GAC_17,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_17_final.txt,copy
class_2,GAC_36,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_36,copy
class_2,GAC_36,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_36_complex.pdb,copy
class_2,GAC_36,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_36_final.txt,copy
class_2,GAC_38,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_38,copy
class_2,GAC_38,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_38_complex.pdb,copy
class_2,GAC_38,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_38_final.txt,copy
class_2,GAC_103,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_103,copy
class_2,GAC_103,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_103_complex.pdb,copy
class_2,GAC_103,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_103_final.txt,copy
class_2,GAC_112,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_112,copy
class_2,GAC_112,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_112_complex.pdb,copy
class_2,GAC_112,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_112_final.txt,copy
class_2,GAC_117,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_117,copy
class_2,GAC_117,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_117_complex.pdb,copy
class_2,GAC_117,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_117_final.txt,copy
class_2,GAC_139,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_139,copy
class_2,GAC_139,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_139_complex.pdb,copy
class_2,GAC_139,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_139_final.txt,copy
class_2,GAC_237,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_237,copy
class_2,GAC_237,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_237_complex.pdb,copy
class_2,GAC_237,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_2/GAC_237_final.txt,copy
class_3,GAC_4,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_4,copy
class_3,GAC_4,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_4_complex.pdb,copy
class_3,GAC_4,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_3/GAC_4_final.txt,copy
class_3,GAC_60,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_60,copy
class_3,GAC_60,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_60_complex.pdb,copy
class_3,GAC_60,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_3/GAC_60_final.txt,copy
class_3,GAC_205,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_205,copy
class_3,GAC_205,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_205_complex.pdb,copy
class_3,GAC_205,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_3/GAC_205_final.txt,copy
class_3,GAC_253,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_253,copy
class_3,GAC_253,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/GAC/02_template_guided_docking/complexes/GAC_253_complex.pdb,copy
class_3,GAC_253,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/GAC/07_ged_classification/classes/class_3/GAC_253_final.txt,copy
class_4,GAC_105,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_105,copy
