merged_class,representative_structure_id,input_folder,input_source,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_1,GAC_1,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_1,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_2,GAC_3,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_3,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_3,GAC_4,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_4,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_4,GAC_105,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_105,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_5,GAC_181,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_181,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_6,GAC_2,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_2,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_7,GAC_11,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_11,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_8,GAC_22,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_22,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_9,GAC_106,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_106,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_10,GAC_204,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_204,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_11,GAC_9,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_9,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_12,GAC_141,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_141,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_13,GAC_229,/home/wms/AF2-test/AF2-CatGraph/results/GAC/05_plip_interaction_graphs/plip_outputs/GAC_229,step06_plip_folder,ok,10,9,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
