standard_structure_id,complex_pdb_path,source_pdb_path,ligand_node_key_1,ligand_node_key_2,ligand_node_label_1,ligand_node_label_2,ligand_atom_serial_1,ligand_atom_serial_2,edge_type,source
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C1,LIG:B:1:N1,C1,N1,2444,2443,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C2,LIG:B:1:C1,C2,C1,2445,2444,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C3,LIG:B:1:C2,C3,C2,2446,2445,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C4,LIG:B:1:C3,C4,C3,2447,2446,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C5,LIG:B:1:C4,C5,C4,2448,2447,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:C6,LIG:B:1:C5,C6,C5,2449,2448,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:O1,LIG:B:1:C6,O1,C6,2450,2449,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:P1,LIG:B:1:O1,P1,O1,2451,2450,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:O2,LIG:B:1:P1,O2,P1,2452,2451,rdkit_same_residue_bond,rdkit_input_pdb
PTP1B_146,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_146_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_146/PTP1B_146_complex.pdb,LIG:B:1:O3,LIG:B:1:P1,O3,P1,2453,2451,rdkit_same_residue_bond,rdkit_input_pdb
