standard_structure_id,complex_pdb_path,plip_work_dir,plip_report_path,ged_file_path,n_ligand_atoms,n_ligand_nodes,n_protein_nodes,n_total_nodes,n_interaction_records,n_ligand_connectivity_edges,n_total_edges,status,error_message
PTP1B_1,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_1_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_1,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_1/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_1_final.txt,17,17,8,25,12,17,29,success,
PTP1B_3,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_3_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_3,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_3/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_3_final.txt,17,17,10,27,14,17,31,success,
PTP1B_4,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_4_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_4,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_4/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_4_final.txt,17,17,9,26,13,17,30,success,
PTP1B_5,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_5_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_5,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_5/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_5_final.txt,17,17,9,26,13,17,30,success,
PTP1B_6,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_6_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_6,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_6/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_6_final.txt,17,17,10,27,14,17,31,success,
PTP1B_7,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_7_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_7,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_7/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_7_final.txt,17,17,10,27,14,17,31,success,
PTP1B_8,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_8_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_8,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_8/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_8_final.txt,17,17,10,27,13,17,30,success,
PTP1B_9,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_9_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_9,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_9/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_9_final.txt,17,17,11,28,16,17,33,success,
PTP1B_10,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_10_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_10,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_10/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_10_final.txt,17,17,9,26,12,17,29,success,
PTP1B_11,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_11_complex.pdb,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_11,results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_11/report.xml,results/PTP1B/05_plip_interaction_graphs/ged_input_files/PTP1B_11_final.txt,17,17,10,27,14,17,31,success,
