class,graph_file,structure_id,representative_graph,representative_structure_id,class_size,provisional_class
class_1,PTP1B_9_final.txt,PTP1B_9,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_41_final.txt,PTP1B_41,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_109_final.txt,PTP1B_109,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_120_final.txt,PTP1B_120,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_129_final.txt,PTP1B_129,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_168_final.txt,PTP1B_168,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_1,PTP1B_186_final.txt,PTP1B_186,PTP1B_9_final.txt,PTP1B_9,7,class_1
class_2,PTP1B_78_final.txt,PTP1B_78,PTP1B_78_final.txt,PTP1B_78,1,class_2
class_3,PTP1B_80_final.txt,PTP1B_80,PTP1B_80_final.txt,PTP1B_80,1,class_3
class_4,PTP1B_152_final.txt,PTP1B_152,PTP1B_152_final.txt,PTP1B_152,1,class_4
class_5,PTP1B_18_final.txt,PTP1B_18,PTP1B_18_final.txt,PTP1B_18,4,class_5
class_5,PTP1B_68_final.txt,PTP1B_68,PTP1B_18_final.txt,PTP1B_18,4,class_5
class_5,PTP1B_191_final.txt,PTP1B_191,PTP1B_18_final.txt,PTP1B_18,4,class_5
class_5,PTP1B_207_final.txt,PTP1B_207,PTP1B_18_final.txt,PTP1B_18,4,class_5
class_6,PTP1B_19_final.txt,PTP1B_19,PTP1B_19_final.txt,PTP1B_19,1,class_6
class_7,PTP1B_27_final.txt,PTP1B_27,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_39_final.txt,PTP1B_39,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_30_final.txt,PTP1B_30,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_81_final.txt,PTP1B_81,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_103_final.txt,PTP1B_103,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_131_final.txt,PTP1B_131,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_136_final.txt,PTP1B_136,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_162_final.txt,PTP1B_162,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_214_final.txt,PTP1B_214,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_223_final.txt,PTP1B_223,PTP1B_27_final.txt,PTP1B_27,12,class_7
class_7,PTP1B_215_final.txt,PTP1B_215,PTP1B_27_final.txt,PTP1B_27,12,class_7
