representative_graph	query_graph	representative_id	query_id	representative_edge_count	query_edge_count	same_edge_count	ged	threshold	assigned_to_current_class	class
PTP1B_9_final.txt	PTP1B_41_final.txt	PTP1B_9	PTP1B_41	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_78_final.txt	PTP1B_9	PTP1B_78	33	33	True	2	1.0	False	
PTP1B_9_final.txt	PTP1B_109_final.txt	PTP1B_9	PTP1B_109	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_80_final.txt	PTP1B_9	PTP1B_80	33	33	True	2	1.0	False	
PTP1B_9_final.txt	PTP1B_120_final.txt	PTP1B_9	PTP1B_120	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_129_final.txt	PTP1B_9	PTP1B_129	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_152_final.txt	PTP1B_9	PTP1B_152	33	33	True	2	1.0	False	
PTP1B_9_final.txt	PTP1B_168_final.txt	PTP1B_9	PTP1B_168	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_18_final.txt	PTP1B_9	PTP1B_18	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_19_final.txt	PTP1B_9	PTP1B_19	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_27_final.txt	PTP1B_9	PTP1B_27	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_30_final.txt	PTP1B_9	PTP1B_30	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_39_final.txt	PTP1B_9	PTP1B_39	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_43_final.txt	PTP1B_9	PTP1B_43	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_68_final.txt	PTP1B_9	PTP1B_68	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_186_final.txt	PTP1B_9	PTP1B_186	33	33	True	0	1.0	True	class_1
PTP1B_9_final.txt	PTP1B_73_final.txt	PTP1B_9	PTP1B_73	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_81_final.txt	PTP1B_9	PTP1B_81	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_102_final.txt	PTP1B_9	PTP1B_102	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_103_final.txt	PTP1B_9	PTP1B_103	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_107_final.txt	PTP1B_9	PTP1B_107	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_126_final.txt	PTP1B_9	PTP1B_126	33	32	False	inf	1.0	False	
PTP1B_9_final.txt	PTP1B_131_final.txt	PTP1B_9	PTP1B_131	33	32	False	inf	1.0	False	
