class,representative_graph,representative_structure_id,class_size
class_1,PTP1B_9_final.txt,PTP1B_9,7
class_2,PTP1B_78_final.txt,PTP1B_78,1
class_3,PTP1B_80_final.txt,PTP1B_80,1
class_4,PTP1B_152_final.txt,PTP1B_152,1
class_5,PTP1B_18_final.txt,PTP1B_18,4
class_6,PTP1B_19_final.txt,PTP1B_19,1
class_7,PTP1B_27_final.txt,PTP1B_27,12
class_8,PTP1B_43_final.txt,PTP1B_43,3
class_9,PTP1B_73_final.txt,PTP1B_73,1
class_10,PTP1B_126_final.txt,PTP1B_126,1
class_11,PTP1B_153_final.txt,PTP1B_153,1
class_12,PTP1B_181_final.txt,PTP1B_181,2
class_13,PTP1B_208_final.txt,PTP1B_208,1
class_14,PTP1B_231_final.txt,PTP1B_231,2
class_15,PTP1B_286_final.txt,PTP1B_286,1
class_16,PTP1B_314_final.txt,PTP1B_314,1
class_17,PTP1B_3_final.txt,PTP1B_3,1
class_18,PTP1B_6_final.txt,PTP1B_6,3
class_19,PTP1B_7_final.txt,PTP1B_7,10
class_20,PTP1B_21_final.txt,PTP1B_21,6
class_21,PTP1B_28_final.txt,PTP1B_28,2
class_22,PTP1B_37_final.txt,PTP1B_37,3
class_23,PTP1B_38_final.txt,PTP1B_38,4
class_24,PTP1B_51_final.txt,PTP1B_51,2
class_25,PTP1B_53_final.txt,PTP1B_53,2
class_26,PTP1B_85_final.txt,PTP1B_85,1
class_27,PTP1B_118_final.txt,PTP1B_118,3
class_28,PTP1B_144_final.txt,PTP1B_144,1
class_29,PTP1B_160_final.txt,PTP1B_160,4
class_30,PTP1B_210_final.txt,PTP1B_210,1
class_31,PTP1B_217_final.txt,PTP1B_217,1
class_32,PTP1B_248_final.txt,PTP1B_248,1
class_33,PTP1B_275_final.txt,PTP1B_275,1
class_34,PTP1B_298_final.txt,PTP1B_298,1
class_35,PTP1B_4_final.txt,PTP1B_4,9
class_36,PTP1B_5_final.txt,PTP1B_5,1
class_37,PTP1B_8_final.txt,PTP1B_8,20
class_38,PTP1B_13_final.txt,PTP1B_13,1
class_39,PTP1B_16_final.txt,PTP1B_16,1
class_40,PTP1B_24_final.txt,PTP1B_24,8
class_41,PTP1B_35_final.txt,PTP1B_35,1
class_42,PTP1B_44_final.txt,PTP1B_44,1
class_43,PTP1B_55_final.txt,PTP1B_55,1
class_44,PTP1B_87_final.txt,PTP1B_87,4
class_45,PTP1B_88_final.txt,PTP1B_88,1
class_46,PTP1B_95_final.txt,PTP1B_95,7
class_47,PTP1B_101_final.txt,PTP1B_101,1
class_48,PTP1B_114_final.txt,PTP1B_114,2
class_49,PTP1B_134_final.txt,PTP1B_134,2
class_50,PTP1B_143_final.txt,PTP1B_143,1
class_51,PTP1B_169_final.txt,PTP1B_169,5
class_52,PTP1B_175_final.txt,PTP1B_175,1
class_53,PTP1B_189_final.txt,PTP1B_189,1
class_54,PTP1B_216_final.txt,PTP1B_216,1
class_55,PTP1B_224_final.txt,PTP1B_224,1
class_56,PTP1B_225_final.txt,PTP1B_225,1
class_57,PTP1B_234_final.txt,PTP1B_234,1
class_58,PTP1B_241_final.txt,PTP1B_241,2
class_59,PTP1B_251_final.txt,PTP1B_251,1
class_60,PTP1B_262_final.txt,PTP1B_262,1
class_61,PTP1B_268_final.txt,PTP1B_268,1
class_62,PTP1B_271_final.txt,PTP1B_271,1
class_63,PTP1B_276_final.txt,PTP1B_276,1
class_64,PTP1B_294_final.txt,PTP1B_294,1
class_65,PTP1B_299_final.txt,PTP1B_299,2
class_66,PTP1B_301_final.txt,PTP1B_301,1
class_67,PTP1B_1_final.txt,PTP1B_1,2
class_68,PTP1B_10_final.txt,PTP1B_10,41
class_69,PTP1B_23_final.txt,PTP1B_23,5
class_70,PTP1B_48_final.txt,PTP1B_48,4
class_71,PTP1B_75_final.txt,PTP1B_75,4
class_72,PTP1B_97_final.txt,PTP1B_97,2
class_73,PTP1B_105_final.txt,PTP1B_105,2
class_74,PTP1B_138_final.txt,PTP1B_138,8
class_75,PTP1B_149_final.txt,PTP1B_149,1
class_76,PTP1B_173_final.txt,PTP1B_173,2
class_77,PTP1B_174_final.txt,PTP1B_174,2
class_78,PTP1B_196_final.txt,PTP1B_196,1
class_79,PTP1B_198_final.txt,PTP1B_198,5
class_80,PTP1B_220_final.txt,PTP1B_220,2
class_81,PTP1B_221_final.txt,PTP1B_221,1
class_82,PTP1B_245_final.txt,PTP1B_245,1
class_83,PTP1B_260_final.txt,PTP1B_260,2
class_84,PTP1B_264_final.txt,PTP1B_264,1
class_85,PTP1B_284_final.txt,PTP1B_284,1
class_86,PTP1B_295_final.txt,PTP1B_295,1
class_87,PTP1B_70_final.txt,PTP1B_70,22
class_88,PTP1B_84_final.txt,PTP1B_84,1
class_89,PTP1B_90_final.txt,PTP1B_90,2
class_90,PTP1B_119_final.txt,PTP1B_119,2
class_91,PTP1B_151_final.txt,PTP1B_151,1
class_92,PTP1B_179_final.txt,PTP1B_179,1
class_93,PTP1B_235_final.txt,PTP1B_235,1
class_94,PTP1B_256_final.txt,PTP1B_256,1
class_95,PTP1B_280_final.txt,PTP1B_280,1
class_96,PTP1B_297_final.txt,PTP1B_297,1
class_97,PTP1B_319_final.txt,PTP1B_319,1
class_98,PTP1B_26_final.txt,PTP1B_26,1
class_99,PTP1B_165_final.txt,PTP1B_165,2
class_100,PTP1B_257_final.txt,PTP1B_257,1
