merged_class,structure_id,file_type,source,action
class_3,PTP1B_152,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_152,exists
class_3,PTP1B_152,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_152_complex.pdb,exists
class_3,PTP1B_152,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_4/PTP1B_152_final.txt,exists
class_6,PTP1B_73,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_73,exists
class_6,PTP1B_73,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_73_complex.pdb,exists
class_6,PTP1B_73,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_9/PTP1B_73_final.txt,exists
class_8,PTP1B_181,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_181,exists
class_8,PTP1B_181,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_181_complex.pdb,exists
class_8,PTP1B_181,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_12/PTP1B_181_final.txt,exists
class_8,PTP1B_290,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_290,exists
class_8,PTP1B_290,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_290_complex.pdb,exists
class_8,PTP1B_290,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_12/PTP1B_290_final.txt,exists
class_9,PTP1B_208,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_208,exists
class_9,PTP1B_208,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_208_complex.pdb,exists
class_9,PTP1B_208,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_13/PTP1B_208_final.txt,exists
class_11,PTP1B_16,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_16,exists
class_11,PTP1B_16,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_16_complex.pdb,exists
class_11,PTP1B_16,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_1/PTP1B_168_final.txt,exists
class_11,PTP1B_28,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_28,exists
class_11,PTP1B_28,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_28_complex.pdb,exists
class_11,PTP1B_28,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_21/PTP1B_28_final.txt,exists
class_11,PTP1B_72,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_72,exists
class_11,PTP1B_72,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_72_complex.pdb,exists
class_11,PTP1B_72,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_21/PTP1B_72_final.txt,exists
class_11,PTP1B_88,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_88,exists
class_11,PTP1B_88,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_88_complex.pdb,exists
class_11,PTP1B_88,ged_graph,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_45/PTP1B_88_final.txt,exists
class_15,PTP1B_134,plip_output_dir,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_134,exists
class_15,PTP1B_134,structure_pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_134_complex.pdb,exists
