merged_class,label,representative_structure_id,structure_ids,n_structures,is_catalytic_candidate,input_folder,input_source,graph_file,representative_pdb_path,original_classes,n_common_edges_missing,missing_common_edges,n_rare_edges_present,rare_edges_present,panel_svg,panel_png,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_1,Class 1,PTP1B_9,PTP1B_9;PTP1B_19;PTP1B_41;PTP1B_80;PTP1B_109;PTP1B_120;PTP1B_129;PTP1B_168;PTP1B_186,9,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_9,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_1/PTP1B_9_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_9_complex.pdb,class_1;class_3;class_6,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_1.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_1.png,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_2,Class 2,PTP1B_21,PTP1B_21;PTP1B_43;PTP1B_59;PTP1B_62;PTP1B_78;PTP1B_102;PTP1B_107;PTP1B_115;PTP1B_187;PTP1B_210;PTP1B_222;PTP1B_231;PTP1B_281;PTP1B_314,14,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_21,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_20/PTP1B_21_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_21_complex.pdb,class_2;class_8;class_14;class_16;class_20;class_30,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_2.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_2.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_3,Class 3,PTP1B_152,PTP1B_152,1,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_152,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_4/PTP1B_152_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_152_complex.pdb,class_4,0,,1,D181 | Polar contact | Phosphate unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_3.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_3.png,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_4,Class 4,PTP1B_3,PTP1B_3;PTP1B_7;PTP1B_11;PTP1B_14;PTP1B_18;PTP1B_24;PTP1B_31;PTP1B_68;PTP1B_74;PTP1B_93;PTP1B_100;PTP1B_106;PTP1B_108;PTP1B_118;PTP1B_127;PTP1B_155;PTP1B_160;PTP1B_163;PTP1B_171;PTP1B_191;PTP1B_192;PTP1B_205;PTP1B_206;PTP1B_207;PTP1B_213;PTP1B_234;PTP1B_244;PTP1B_253;PTP1B_269;PTP1B_273;PTP1B_292,31,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_3,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_17/PTP1B_3_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_3_complex.pdb,class_5;class_17;class_19;class_27;class_29;class_40;class_57,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_4.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_4.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_5,Class 5,PTP1B_27,PTP1B_27;PTP1B_30;PTP1B_38;PTP1B_39;PTP1B_63;PTP1B_81;PTP1B_103;PTP1B_124;PTP1B_131;PTP1B_136;PTP1B_153;PTP1B_162;PTP1B_167;PTP1B_214;PTP1B_215;PTP1B_223;PTP1B_226,17,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_27,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_7/PTP1B_27_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_27_complex.pdb,class_7;class_11;class_23,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_5.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_5.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_6,Class 6,PTP1B_73,PTP1B_73,1,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_73,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_9/PTP1B_73_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_73_complex.pdb,class_9,0,,2,D181 | Polar contact | Phosphate unit;F182 | π contact | Aromatic ring unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_6.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_6.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_7,Class 7,PTP1B_126,PTP1B_126;PTP1B_169;PTP1B_258;PTP1B_259;PTP1B_275;PTP1B_286;PTP1B_289;PTP1B_298;PTP1B_305,9,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_126,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_10/PTP1B_126_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_126_complex.pdb,class_10;class_15;class_33;class_34;class_51,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_7.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_7.png,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_8,Class 8,PTP1B_181,PTP1B_181;PTP1B_290,2,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_181,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_12/PTP1B_181_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_181_complex.pdb,class_12,0,,1,Q262 | Polar contact | N1 site,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_8.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_8.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_9,Class 9,PTP1B_208,PTP1B_208,1,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_208,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_13/PTP1B_208_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_208_complex.pdb,class_13,0,,2,D181 | Polar contact | Phosphate unit;F182 | π contact | Aromatic ring unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_9.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_9.png,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_10,Class 10,PTP1B_6,PTP1B_6;PTP1B_8;PTP1B_22;PTP1B_50;PTP1B_51;PTP1B_57;PTP1B_58;PTP1B_64;PTP1B_66;PTP1B_69;PTP1B_77;PTP1B_86;PTP1B_91;PTP1B_98;PTP1B_116;PTP1B_122;PTP1B_123;PTP1B_135;PTP1B_140;PTP1B_146;PTP1B_150;PTP1B_176;PTP1B_232;PTP1B_236;PTP1B_238,25,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_6,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_18/PTP1B_6_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_6_complex.pdb,class_18;class_24;class_37,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_10.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_10.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_11,Class 11,PTP1B_16,PTP1B_16;PTP1B_28;PTP1B_72;PTP1B_88,4,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_16,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_1/PTP1B_168_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_16_complex.pdb,class_21;class_39;class_45,0,,1,F182 | π contact | Aromatic ring unit,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_11.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_11.png,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_12,Class 12,PTP1B_37,PTP1B_37;PTP1B_157;PTP1B_249,3,False,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_37,step06_plip_folder,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/07_ged_classification/classes/class_22/PTP1B_37_final.txt,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_37_complex.pdb,class_22,0,,0,,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_12.svg,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/09_class_visualization/figures/class_panels/PTP1B_class_12.png,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
