merged_class,representative_structure_id,input_folder,input_source,topology_status,n_ligand_nodes,n_ligand_bond_edges,n_interaction_ligand_nodes,n_unattached_plip_ligand_nodes,unattached_plip_ligand_nodes,n_disconnected_ligand_entities,disconnected_ligand_entities,topology_message
class_1,PTP1B_9,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_9,step06_plip_folder,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_2,PTP1B_21,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_21,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_3,PTP1B_152,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_152,step06_plip_folder,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_4,PTP1B_3,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_3,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_5,PTP1B_27,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_27,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_6,PTP1B_73,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_73,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_7,PTP1B_126,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_126,step06_plip_folder,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_8,PTP1B_181,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_181,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_9,PTP1B_208,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_208,step06_plip_folder,ok,17,17,10,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_10,PTP1B_6,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_6,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_11,PTP1B_16,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_16,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_12,PTP1B_37,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_37,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_13,PTP1B_53,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_53,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_14,PTP1B_4,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_4,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_15,PTP1B_134,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_134,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_16,PTP1B_5,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_5,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_17,PTP1B_35,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_35,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_18,PTP1B_44,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_44,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_19,PTP1B_101,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_101,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_20,PTP1B_143,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_143,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_21,PTP1B_75,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_75,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_22,PTP1B_189,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_189,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_23,PTP1B_216,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_216,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_24,PTP1B_224,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_224,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_25,PTP1B_262,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_262,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_26,PTP1B_268,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_268,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_27,PTP1B_271,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_271,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_28,PTP1B_294,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_294,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_29,PTP1B_173,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_173,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_30,PTP1B_1,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_1,step06_plip_folder,ok,17,17,8,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_31,PTP1B_48,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_48,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_32,PTP1B_105,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_105,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_33,PTP1B_84,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_84,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_34,PTP1B_220,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_220,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_35,PTP1B_221,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_221,step06_plip_folder,ok,17,17,9,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_36,PTP1B_245,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_245,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_37,PTP1B_284,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_284,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_38,PTP1B_119,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_119,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_39,PTP1B_256,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_256,step06_plip_folder,ok,17,17,7,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_40,PTP1B_26,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_26,step06_plip_folder,ok,17,17,5,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_41,PTP1B_165,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_165,step06_plip_folder,ok,17,17,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
class_42,PTP1B_257,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/05_plip_interaction_graphs/plip_outputs/PTP1B_257,step06_plip_folder,ok,17,17,6,0,,0,,All PLIP ligand endpoints are attached to their within-entity covalent topology.
