input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff
1,GAC_1,GAC_1_complex.pdb,GAC,1,GAC.AF2rank1.pdb,GAC.AF2rank1,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank1.pdb,results/GAC/02_template_guided_docking/complexes/GAC_1_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.4148675555392178,2.2287799952972644,2.2287799952972644,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
2,GAC_2,GAC_2_complex.pdb,GAC,2,GAC.AF2rank2.pdb,GAC.AF2rank2,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank2.pdb,results/GAC/02_template_guided_docking/complexes/GAC_2_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,10,1.8908428409126175,2.1395688695026056,2.1395688695026056,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
3,GAC_3,GAC_3_complex.pdb,GAC,3,GAC.AF2rank3.pdb,GAC.AF2rank3,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank3.pdb,results/GAC/02_template_guided_docking/complexes/GAC_3_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,5,1.5126684222505231,2.0512434740443233,2.0512434740443233,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
4,GAC_4,GAC_4_complex.pdb,GAC,4,GAC.AF2rank4.pdb,GAC.AF2rank4,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank4.pdb,results/GAC/02_template_guided_docking/complexes/GAC_4_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,5,1.1294863414601326,2.155941641646288,2.155941641646288,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
5,GAC_5,GAC_5_complex.pdb,GAC,5,GAC.AF2rank5.pdb,GAC.AF2rank5,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank5.pdb,results/GAC/02_template_guided_docking/complexes/GAC_5_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,5,0.9597110506226811,2.3193757987002854,2.3193757987002854,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
6,GAC_6,GAC_6_complex.pdb,GAC,6,GAC.AF2rank6.pdb,GAC.AF2rank6,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank6.pdb,results/GAC/02_template_guided_docking/complexes/GAC_6_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.2951630908738703,2.2366915753507364,2.2366915753507364,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
7,GAC_7,GAC_7_complex.pdb,GAC,7,GAC.AF2rank7.pdb,GAC.AF2rank7,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank7.pdb,results/GAC/02_template_guided_docking/complexes/GAC_7_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.5612091404108885,2.2465479044184717,2.2465479044184717,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
8,GAC_8,GAC_8_complex.pdb,GAC,8,GAC.AF2rank8.pdb,GAC.AF2rank8,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank8.pdb,results/GAC/02_template_guided_docking/complexes/GAC_8_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.0055000830614707,2.238406633504306,2.238406633504306,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
9,GAC_9,GAC_9_complex.pdb,GAC,9,GAC.AF2rank9.pdb,GAC.AF2rank9,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank9.pdb,results/GAC/02_template_guided_docking/complexes/GAC_9_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,6,1.5942874692810785,2.239360683290472,2.239360683290472,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
10,GAC_10,GAC_10_complex.pdb,GAC,10,GAC.AF2rank10.pdb,GAC.AF2rank10,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank10.pdb,results/GAC/02_template_guided_docking/complexes/GAC_10_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,2.4537573408591014,2.0047241969650367,2.0047241969650367,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
