input_order,source_prediction_index,numbering_index,target_id,standard_structure_id,original_structure_id,original_filename,source_path,input_pdb_path,source_af2_path,source_af2_match,plddt_filter_scope_requested,plddt_filter_scope_applied,plddt_filter_pdb_path,plddt_source_status,standardized_pdb_path,rank,model,seed,n_atoms,n_residues,global_mean_plddt,global_median_plddt,global_p10_plddt,global_min_plddt,global_max_plddt,input_n_atoms,input_n_residues,input_global_mean_plddt,input_global_median_plddt,input_global_p10_plddt,input_global_min_plddt,input_global_max_plddt,source_n_atoms,source_n_residues,source_global_mean_plddt,source_global_median_plddt,source_global_p10_plddt,source_global_min_plddt,source_global_max_plddt,global_plddt_threshold,pass_global_plddt,status,error_message
1,,1,GAC,GAC_AF2_0001,GAC.AF2rank1,GAC.AF2rank1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank1.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.0.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.0.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0001.pdb,,,,2315,302,95.0859271523179,96.845,90.458,64.38,98.88,2315,302,95.0859271523179,96.845,90.458,64.38,98.88,2315,302,95.0859271523179,96.845,90.458,64.38,98.88,75.0,True,ok,
2,,2,GAC,GAC_AF2_0002,GAC.AF2rank2,GAC.AF2rank2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank2.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.1.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.1.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0002.pdb,,,,2315,302,95.24814569536424,97.09,90.566,65.94,98.88,2315,302,95.24814569536424,97.09,90.566,65.94,98.88,2315,302,95.24814569536424,97.09,90.566,65.94,98.88,75.0,True,ok,
3,,3,GAC,GAC_AF2_0003,GAC.AF2rank3,GAC.AF2rank3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank3.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.2.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.2.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0003.pdb,,,,2315,302,94.5741059602649,96.72,90.269,58.06,98.88,2315,302,94.5741059602649,96.72,90.269,58.06,98.88,2315,302,94.5741059602649,96.72,90.269,58.06,98.88,75.0,True,ok,
4,,4,GAC,GAC_AF2_0004,GAC.AF2rank4,GAC.AF2rank4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank4.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.3.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.3.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0004.pdb,,,,2315,302,94.73334437086092,96.38,90.31,65.44,98.88,2315,302,94.73334437086092,96.38,90.31,65.44,98.88,2315,302,94.73334437086092,96.38,90.31,65.44,98.88,75.0,True,ok,
5,,5,GAC,GAC_AF2_0005,GAC.AF2rank5,GAC.AF2rank5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank5.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.4.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.4.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0005.pdb,,,,2315,302,95.18685430463576,97.53,91.38,55.53,98.88,2315,302,95.18685430463576,97.53,91.38,55.53,98.88,2315,302,95.18685430463576,97.53,91.38,55.53,98.88,75.0,True,ok,
6,,6,GAC,GAC_AF2_0006,GAC.AF2rank6,GAC.AF2rank6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank6.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.5.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.5.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0006.pdb,,,,2315,302,94.94211920529801,97.41,90.538,53.81,98.88,2315,302,94.94211920529801,97.41,90.538,53.81,98.88,2315,302,94.94211920529801,97.41,90.538,53.81,98.88,75.0,True,ok,
7,,7,GAC,GAC_AF2_0007,GAC.AF2rank7,GAC.AF2rank7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank7.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.6.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.6.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0007.pdb,,,,2315,302,94.94927152317881,97.155,90.75,57.62,98.88,2315,302,94.94927152317881,97.155,90.75,57.62,98.88,2315,302,94.94927152317881,97.155,90.75,57.62,98.88,75.0,True,ok,
8,,8,GAC,GAC_AF2_0008,GAC.AF2rank8,GAC.AF2rank8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank8.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.7.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.7.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0008.pdb,,,,2315,302,94.71960264900662,97.0,90.13900000000001,54.69,98.88,2315,302,94.71960264900662,97.0,90.13900000000001,54.69,98.88,2315,302,94.71960264900662,97.0,90.13900000000001,54.69,98.88,75.0,True,ok,
9,,9,GAC,GAC_AF2_0009,GAC.AF2rank9,GAC.AF2rank9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank9.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.8.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.8.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0009.pdb,,,,2315,302,94.26258278145696,96.47,89.006,57.16,98.88,2315,302,94.26258278145696,96.47,89.006,57.16,98.88,2315,302,94.26258278145696,96.47,89.006,57.16,98.88,75.0,True,ok,
10,,10,GAC,GAC_AF2_0010,GAC.AF2rank10,GAC.AF2rank10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank10.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.9.pdb,manifest_exact,source_if_available,source,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2/5D3O.9.pdb,manifest_exact,results/GAC/01_af2_prepare/pdb/standardized/GAC_AF2_0010.pdb,,,,2315,302,94.8144701986755,97.09,90.81700000000001,52.19,98.88,2315,302,94.8144701986755,97.09,90.81700000000001,52.19,98.88,2315,302,94.8144701986755,97.09,90.81700000000001,52.19,98.88,75.0,True,ok,
