input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff
3,AqTMK_3,AqTMK_3_complex.pdb,AqTMK,3,AqTMK.AF2rank3.pdb,AqTMK.AF2rank3,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank3.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_3_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,2.438060159772852,2.0159713377268322,2.0159713377268322,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
4,AqTMK_4,AqTMK_4_complex.pdb,AqTMK,4,AqTMK.AF2rank4.pdb,AqTMK.AF2rank4,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank4.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_4_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,12,3.5178156586725793,2.084896659309983,2.084896659309983,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
7,AqTMK_7,AqTMK_7_complex.pdb,AqTMK,7,AqTMK.AF2rank7.pdb,AqTMK.AF2rank7,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank7.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_7_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,3.4976718246923126,2.004243923009143,2.004243923009143,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
11,AqTMK_11,AqTMK_11_complex.pdb,AqTMK,11,AqTMK.AF2rank11.pdb,AqTMK.AF2rank11,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank11.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_11_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,3.362866413492555,2.0152482328493933,2.0152482328493933,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
18,AqTMK_18,AqTMK_18_complex.pdb,AqTMK,18,AqTMK.AF2rank18.pdb,AqTMK.AF2rank18,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank18.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_18_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,13,3.082178250375994,2.0222538453848102,2.0222538453848102,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
19,AqTMK_19,AqTMK_19_complex.pdb,AqTMK,19,AqTMK.AF2rank19.pdb,AqTMK.AF2rank19,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank19.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_19_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,2.757829374200204,2.0726303718994075,2.0726303718994075,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
20,AqTMK_20,AqTMK_20_complex.pdb,AqTMK,20,AqTMK.AF2rank20.pdb,AqTMK.AF2rank20,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank20.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_20_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,2.6599552077339403,2.026855344382479,2.026855344382479,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
24,AqTMK_24,AqTMK_24_complex.pdb,AqTMK,24,AqTMK.AF2rank24.pdb,AqTMK.AF2rank24,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank24.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_24_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,16,3.916639299145584,2.0226582367426347,2.0226582367426347,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
25,AqTMK_25,AqTMK_25_complex.pdb,AqTMK,25,AqTMK.AF2rank25.pdb,AqTMK.AF2rank25,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank25.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_25_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,11,4.404050920765257,1.8079236076423575,1.8079236076423575,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
27,AqTMK_27,AqTMK_27_complex.pdb,AqTMK,27,AqTMK.AF2rank27.pdb,AqTMK.AF2rank27,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/01_af2_new/AqTMK.AF2rank27.pdb,results/AqTMK/02_template_guided_docking/complexes/AqTMK_27_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,results/AqTMK/02_template_guided_docking/tables/AqTMK_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/ATP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/TMP.pdb;/home/wms/AF2-test/AF2-CatGraph/data/AqTMK/02_templates/MG.pdb,ATP;TMP;MG,untrimmed_input,3,21,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,195,1.0,1.0,,failed,,1578,21,12,2.38736597862698,2.007355499583339,2.007355499583339,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
