input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff
1,PTP1B_1,PTP1B_1_complex.pdb,PTP1B,1,PTP1B.AF2rank1.pdb,PTP1B.AF2rank1,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank1.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_1_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,1.6267949647568618,2.0506130386827066,2.0506130386827066,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
3,PTP1B_3,PTP1B_3_complex.pdb,PTP1B,3,PTP1B.AF2rank3.pdb,PTP1B.AF2rank3,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank3.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_3_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,8,1.6128892500640442,2.1780617828328723,2.1780617828328723,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
4,PTP1B_4,PTP1B_4_complex.pdb,PTP1B,4,PTP1B.AF2rank4.pdb,PTP1B.AF2rank4,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank4.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_4_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,7,1.4573449783806383,2.251615478697969,2.251615478697969,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
5,PTP1B_5,PTP1B_5_complex.pdb,PTP1B,5,PTP1B.AF2rank5.pdb,PTP1B.AF2rank5,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank5.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_5_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,7,1.237938273715998,2.239563740473371,2.239563740473371,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
6,PTP1B_6,PTP1B_6_complex.pdb,PTP1B,6,PTP1B.AF2rank6.pdb,PTP1B.AF2rank6,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank6.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_6_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,1.5232784672476858,2.0739436831015476,2.0739436831015476,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
7,PTP1B_7,PTP1B_7_complex.pdb,PTP1B,7,PTP1B.AF2rank7.pdb,PTP1B.AF2rank7,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank7.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_7_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,1.839944578119495,2.097015525645842,2.097015525645842,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
8,PTP1B_8,PTP1B_8_complex.pdb,PTP1B,8,PTP1B.AF2rank8.pdb,PTP1B.AF2rank8,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank8.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_8_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,5,1.0337060673183212,2.139720066658595,2.139720066658595,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
9,PTP1B_9,PTP1B_9_complex.pdb,PTP1B,9,PTP1B.AF2rank9.pdb,PTP1B.AF2rank9,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank9.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_9_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,2.302167719525236,2.022523367042597,2.022523367042597,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
10,PTP1B_10,PTP1B_10_complex.pdb,PTP1B,10,PTP1B.AF2rank10.pdb,PTP1B.AF2rank10,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank10.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_10_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,1.744536415382187,2.166955576682133,2.166955576682133,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
11,PTP1B_11,PTP1B_11_complex.pdb,PTP1B,11,PTP1B.AF2rank11.pdb,PTP1B.AF2rank11,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank11.pdb,results/PTP1B/02_template_guided_docking/complexes/PTP1B_11_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,7,2.0514393753141507,2.0802550763038057,2.0802550763038057,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
